"","AMT","ARE","AVB","BXP","CBRE","CCI","CPT","CSGP","DLR","DOC","EQIX","EQR","ESS","EXR","FRT","HST","INVH","IRM","KIM","MAA","O","PLD","PSA","REG","SBAC","SPG","UDR","VICI","VTR","WELL","WY"
"1","249.879913330078","168.446136474609","191.780517578125","102.51725769043","89","175.101989746094","123.079025268555","90.0979995727539","140.225875854492","29.6156368255615","782.366882324219","71.7162857055664","277.373809814453","147.756790161133","106.843086242676","16.0570964813232","34.6423149108887","40.04833984375","18.6912899017334","156.878463745117","57.5712471008301","114.395065307617","266.652313232422","58.5312957763672","311.185455322266","111.155479431152","44.9475135803223","27.5691013336182","51.538646697998","74.2342529296875","29.7921257019043"
"2","248.825271606445","165.717880249023","191.310333251953","100.914756774902","88.3600006103516","174.632431030273","122.661003112793","90.6719970703125","139.514297485352","29.4756145477295","782.433471679688","71.4451675415039","275.393646240234","147.097717285156","105.352836608887","15.9386959075928","34.5130920410156","38.6356887817383","18.2822532653809","155.529678344727","57.0806350708008","113.825836181641","265.685943603516","57.7711524963379","311.098205566406","110.098876953125","44.8658714294434","27.4572086334229","52.3615379333496","75.7451019287109","29.6790790557861"
"3","246.594741821289","166.160552978516","192.332107543945","101.737426757812","86.5699996948242","173.64909362793","122.94270324707","89.0449981689453","136.866149902344","29.6156368255615","764.350952148438","71.4271087646484","276.626708984375","148.767974853516","106.057792663574","16.0388870239258","34.7161674499512","38.406135559082","18.4156341552734","155.465484619141","57.0298728942871","113.023330688477","266.836761474609","57.9678916931152","307.406066894531","111.755653381348","44.9747314453125","27.2571716308594","52.9876670837402","76.8966598510742","29.496467590332"
"4","246.529418945312","166.11540222168","191.717208862305","102.037368774414","87.7200012207031","173.578216552734","122.661003112793","87.8239974975586","135.136749267578","29.6331405639648","741.293884277344","70.9391098022461","275.627655029297","147.819961547852","105.076194763184","16.0570964813232","34.6515464782715","38.2737007141113","18.3711738586426","155.603088378906","56.6746025085449","113.163307189941","265.150207519531","57.7353744506836","305.962219238281","110.411628723145","45.0019416809082","27.0571365356445","51.8427619934082","76.8874435424805","29.7660369873047"
"5","248.759994506836","166.8291015625","193.444229125977","102.662948608398","87.2300033569336","174.109786987305","122.879089355469","88.2649993896484","137.100341796875","29.7469177246094","745.174865722656","71.5519943237305","276.635711669922","150.22151184082","106.432609558105","16.0024547576904","35.0299949645996","38.10595703125","18.7446422576904","156.116912841797","57.6304550170898","113.844505310059","267.706420898438","58.1825218200684","309.227935791016","110.792022705078","45.2287292480469","27.7268199920654","52.155818939209","77.4033432006836","29.8182163238525"
"6","253.659729003906","166.549011230469","192.03369140625","100.032096862793","86.7200012207031","175.438629150391","122.47925567627","84.9199981689453","137.532684326172","29.361837387085","759.557006835938","70.796142578125","275.105651855469","149.499221801758","104.612182617188","15.4377689361572","34.8176918029785","37.9205551147461","18.5312309265137","156.061859130859","57.3766860961914","113.489898681641","267.486755371094","57.4402656555176","312.852203369141","110.056625366211","45.1561508178711","27.2397785186768","51.8874778747559","76.4268341064453","29.5660362243652"
"7","254.593032836914","166.349075317383","191.596420288086","98.3728256225586","85.9899978637695","174.836212158203","122.47925567627","83.2900009155273","137.280471801758","29.4756145477295","763.181091308594","70.6322174072266","273.809692382812","148.632522583008","105.013740539551","15.4104452133179","34.6330909729004","37.3643226623535","18.495662689209","155.841644287109","57.4781951904297","113.331260681152","266.590759277344","57.6012344360352","312.047882080078","110.724395751953","44.8749465942383","26.9962539672852","51.7622528076172","76.8414001464844","29.6877708435059"
"8","252.119857788086","165.367446899414","190.120574951172","99.0296096801758","85.7300033569336","172.842910766602","121.308868408203","82.8199996948242","135.524063110352","29.1342945098877","763.437866210938","70.1222305297852","271.888366699219","147.901275634766","104.558616638184","15.565279006958","34.420783996582","37.3643226623535","18.5401229858398","154.529602050781","56.6514282226562","111.539611816406","264.139892578125","57.297176361084","308.840393066406","110.293304443359","44.4304656982422","26.9788589477539","51.4737854003906","76.5558013916016","29.9312610626221"
"9","252.29719543457","165.658309936523","191.778610229492","99.3320999145508","87.1800003051758","172.488510131836","122.058647155762","83.25","134.965591430664","29.1518020629883","758.719970703125","71.0511169433594","275.440979003906","148.885345458984","105.370697021484","15.7747573852539","34.6515464782715","37.6291885375977","18.7446422576904","155.456314086914","56.9145774841309","111.959533691406","263.832427978516","57.9678916931152","310.138885498047","112.395248413086","44.9838027954102","27.0223445892334","51.572940826416","77.1361923217773","29.8529987335205"
"10","254.667694091797","167.230712890625","192.525650024414","100.308647155762","85.9199981689453","174.517272949219","122.735260009766","82.5800018310547","135.352890014648","29.2393169403076","761.440185546875","71.4427108764648","277.190032958984","150.645858764648","105.174377441406","15.7110033035278","34.9561538696289","37.7616271972656","18.5756931304932","156.850921630859","57.2795677185059","112.939338684082","265.923187255859","57.6906661987305","312.852203369141","110.763236999512","45.1017265319824","27.0397396087646","51.6270370483398","78.2324829101562","29.8356037139893"
"11","257.336944580078","169.439376831055","194.548126220703","100.490142822266","84.9400024414062","176.85612487793","125.103485107422","83.5800018310547","137.199432373047","29.7294139862061","779.142395019531","71.8616256713867","279.863494873047","154.239105224609","104.255233764648","15.2373943328857","35.7869033813477","37.4526100158691","18.3800678253174","159.621871948242","57.9331703186035","114.348403930664","270.508636474609","57.1183166503906","316.108276367188","109.062873840332","45.6913528442383","26.8831882476807","52.050724029541","78.4351577758789","29.539945602417"
