"","ABNB","AMZN","APTV","AZO","BBWI","BBY","BKNG","BWA","CCL","CMG","CZR","DECK","DHI","DPZ","DRI","EBAY","ETSY","EXPE","F","GM","GPC","GRMN","HAS","HD","HLT","KMX","LEN","LKQ","LOW","LULU","LVS","MAR","MCD","MGM","MHK","NCLH","NKE","NVR","ORLY","PHM","POOL","RCL","RL","ROST","SBUX","TJX","TPR","TSCO","TSLA","ULTA","VFC","WYNN","YUM"
"1","149.699996948242","172.697998046875","150.440002441406","1415.59997558594","50.5529823303223","96.5421142578125","2257.29345703125","40.9718627929688","28.6700000762939","1426.59997558594","103.819999694824","336.720001220703","88.1091079711914","444.564575195312","121.74543762207","61.1338958740234","170.789993286133","167.919998168945","12.5497341156006","58.2352294921875","116.057815551758","132.339782714844","82.2765197753906","287.534973144531","125.711082458496","116.089996337891","93.7480926513672","45.6942405700684","179.327774047852","352.290008544922","53.9443626403809","140.223388671875","219.072570800781","42.0699310302734","187.199996948242","31.3799991607666","126.167297363281","4817.68994140625","547","52.5774040222168","440.180236816406","87.4000015258789","106.956176757812","115.567710876465","104.672164916992","62.1117477416992","38.6857223510742","167.289886474609","206.943328857422","334.899993896484","71.6866607666016","126.31665802002","111.026077270508"
"2","149.679992675781","175.272003173828","151.639999389648","1434.5","53.0887031555176","98.6385269165039","2245.15454101562","40.9634208679199","28.0599994659424","1447.64001464844","104.309997558594","348.149993896484","88.5275115966797","444.912933349609","123.725387573242","61.5990409851074","177.979995727539","166.929992675781","12.6601161956787","58.1763038635254","116.552200317383","132.665954589844","82.9103851318359","292.311645507812","125.076293945312","117.449996948242","94.6125793457031","45.589786529541","182.024139404297","359.109985351562","52.9854850769043","138.770904541016","219.994430541992","42.2798271179199","190.050003051758","30.8400001525879","128.495132446289","4821.27001953125","551.650024414062","52.76171875","446.847595214844","85.6600036621094","108.735229492188","116.525863647461","105.502212524414","63.0686416625977","38.8141860961914","172.116714477539","207.903335571289","335.670013427734","72.2292098999023","125.47526550293","111.72972869873"
"3","151.580001831055","175.190994262695","152.75","1443.03002929688","54.6101341247559","98.8250732421875","2240.54638671875","40.9211845397949","28.1499996185303","1455.36999511719","103.220001220703","352.200012207031","87.2430877685547","441.942443847656","123.588523864746","61.9882583618164","179.449996948242","168.949996948242","13.0931606292725","59.0404968261719","116.897338867188","132.209274291992","82.7675399780273","291.339508056641","124.659683227539","118.269996643066","93.1525726318359","45.9696311950684","181.47346496582","359.399993896484","52.7581214904785","138.476486206055","219.39241027832","43.099437713623","188.320007324219","31","129.096450805664","4783.2900390625","549.849975585938","51.8886566162109","442.1240234375","86.1600036621094","110.884918212891","116.99040222168","105.228660583496","63.0207901000977","39.0894660949707","171.210510253906","218.856674194336","341.179992675781","72.8251037597656","124.673469543457","111.197242736816"
"4","150.729995727539","172.453994750977","155.130004882812","1454.55004882812","55.432315826416","98.9405517578125","2240.49633789062","41.1999664306641","27.4599990844727","1489.21997070312","104.730003356934","355.880004882812","86.9122543334961","444.903289794922","127.603225708008","63.1938323974609","181.520004272461","170.050003051758","12.9573030471802","58.9619331359863","117.680885314941","133.299591064453","83.1871337890625","291.498382568359","123.499198913574","119.430000305176","93.4311141967773","46.8432502746582","182.052612304688","361.910003662109","51.3247451782227","138.172225952148","219.47705078125","44.0389938354492","190.220001220703","30.6100006103516","129.581451416016","4818.4501953125","549.619995117188","51.8207550048828","446.138092041016","86.9700012207031","112.197113037109","119.20671081543","105.634246826172","64.0829315185547","39.4840240478516","172.622360229492","226.606674194336","351.850006103516","72.3715209960938","122.891723632812","111.244773864746"
"5","149.669998168945","170.072998046875","155.770004272461","1479.27001953125","55.5322227478027","100.424034118652","2275.8359375","41.3520202636719","28.1299991607666","1518.75","102.430000305176","380.660003662109","86.4549255371094","443.132629394531","131.490173339844","64.4563903808594","184.800003051758","170.990005493164","12.8978662490845","59.2172660827637","119.070724487305","134.539031982422","83.5085372924805","293.171600341797","123.469451904297","127.400001525879","93.2582244873047","47.337028503418","182.916610717773","363.690002441406","52.0760307312012","137.53434753418","218.621078491211","43.8690757751465","195.720001220703","31.0300006866455","149.707305908203","4844.5","557.159973144531","52.0050659179688","442.969604492188","89.2200012207031","112.933349609375","119.593841552734","106.624671936035","64.6187896728516","39.8969497680664","171.983184814453","223.956665039062","348.859985351562","73.7145385742188","122.802627563477","111.492012023926"
"6","149.940002441406","172.19450378418","154.699996948242","1496.16003417969","54.5332870483398","102.005233764648","2198.9228515625","40.4818916320801","26.1499996185303","1507.81005859375","100.540000915527","382.369995117188","87.1652603149414","448.502685546875","129.400726318359","65.3297348022461","198.410003662109","163.550003051758","12.7025718688965","57.5870780944824","117.074569702148","134.445877075195","83.5710144042969","293.779205322266","119.739967346191","129.009994506836","94.5261459350586","46.140552520752","183.43879699707","363.790008544922","50.7810516357422","133.343734741211","217.370040893555","42.3697853088379","189.889999389648","29.1399993896484","147.777160644531","4884.419921875","561.570007324219","52.8393211364746","443.717987060547","83.4499969482422","109.224189758301","117.861442565918","105.870079040527","63.6236381530762","39.0986404418945","174.997573852539","229.573333740234","343.119995117188","71.3042144775391","119.536071777344","110.407997131348"
"7","146.080001831055","172.406997680664","158.300003051758","1491.69995117188","54.7177124023438","102.129608154297","2166.6455078125","40.8535995483398","25.7800006866455","1534.28002929688","100.879997253418","382.799987792969","88.070182800293","448.425323486328","131.198196411133","66.9150466918945","202.529998779297","159.899993896484","12.7450275421143","57.7736625671387","118.193916320801","135.48030090332","83.9191970825195","297.480865478516","117.984344482422","130.649993896484","95.3041610717773","46.5678672790527","184.378707885742","366.660003662109","50.5932273864746","132.489883422852","216.692794799805","42.1698837280273","190.350006103516","28.9099998474121","151.259170532227","4964.41015625","564.969970703125","53.8772811889648","451.979309082031","83","108.953948974609","118.229217529297","105.898368835449","63.824577331543","38.6857223510742","178.412643432617","226.919998168945","343.769989013672","72.0869064331055","120.407157897949","109.885009765625"
"8","153.139999389648","172.007995605469","157.330001831055","1492.21997070312","55.3708457946777","102.138488769531","2182.5048828125","41.0056571960449","26.3600006103516","1550.33996582031","103.75","384.070007324219","87.9339599609375","451.36669921875","133.20556640625","66.6492385864258","205.839996337891","163.710006713867","12.6176624298096","58.1075592041016","117.970039367676","134.790679931641","84.383430480957","298.088531494141","119.640777587891","129.149993896484","95.4290313720703","46.7387886047363","184.160354614258","364.970001220703","52.0859184265137","133.981674194336","217.275985717773","42.6296653747559","192.190002441406","29.4099998474121","149.843063354492","4973.2998046875","566.210021972656","52.9363250732422","445.778503417969","85.2799987792969","109.792694091797","120.010025024414","105.464485168457","64.513542175293","39.8969497680664","177.487350463867","226.566665649414","345.769989013672","72.9674301147461","121.060470581055","109.38102722168"
"9","153.080001831055","171.648498535156","158.729995727539","1525.72998046875","56.5234451293945","103.373245239258","2204.37890625","41.504077911377","26.3600006103516","1538.22998046875","102.900001525879","389.859985351562","90.3081741333008","450.911987304688","135.194625854492","66.2600326538086","199.509994506836","167.029998779297","12.6601161956787","58.0486373901367","119.686386108398","136.141967773438","85.1154861450195","300.565643310547","122.616424560547","130.580001831055","98.0097503662109","47.583927154541","185.916809082031","364.230010986328","52.5208740234375","136.651062011719","218.480010986328","43.4992523193359","197.300003051758","29.5100002288818","153.247497558594","5111.89013671875","575.380004882812","54.1489028930664","449.073211669922","85.8899993896484","109.997718811035","120.968162536621","106.973670959473","64.9537124633789","38.9885292053223","179.194869995117","225.973327636719","348.980010986328","74.0791854858398","121.159454345703","110.312911987305"
"10","150.229995727539","175.54899597168","159.869995117188","1549.44995117188","56.8999633789062","102.733665466309","2233.17504882812","41.504077911377","26.0599994659424","1566.36999511719","102.410003662109","392.630004882812","89.8703155517578","458.865478515625","135.158142089844","66.5258178710938","197.570007324219","167.419998168945","12.6771001815796","57.9013290405273","120.385948181152","136.989990234375","86.2850112915039","301.649963378906","125.78052520752","133.820007324219","97.6342086791992","47.8498115539551","185.81233215332","368.470001220703","52.4615592956543","138.633483886719","219.759262084961","43.2293815612793","195.080001831055","29","154.935150146484","5114.3798828125","581.880004882812","53.5862693786621","453.718933105469","86.0400009155273","109.774055480957","122.187622070312","108.44514465332","65.3077697753906","39.1445236206055","179.118545532227","226.300003051758","351.899993896484","75.1020126342773","120.268569946289","111.206741333008"
