"","A","ABBV","ABT","ALGN","AMGN","BAX","BDX","BIIB","BIO","BMY","BSX","CAH","CI","CNC","COO","COR","CRL","CTLT","CVS","DGX","DHR","DVA","DXCM","ELV","EW","GILD","HCA","HOLX","HSIC","HUM","IDXX","ILMN","INCY","IQV","ISRG","JNJ","LH","LLY","MCK","MDT","MOH","MRK","MRNA","MTD","PFE","PODD","REGN","RMD","RVTY","STE","SYK","TECH","TFX","TMO","UHS","UNH","VRTX","VTRS","WAT","WST","XRAY","ZBH","ZTS"
"1","143.845397949219","102.73072052002","106.119422912598","611.539978027344","219.780364990234","76.693733215332","225.852279663086","380.910003662109","625.669982910156","60.9181213378906","43.5999984741211","51.9882507324219","225.327865600586","72.1699981689453","97.3201522827148","112.821716308594","360.589996337891","109.75","77.9510498046875","122.608322143555","230.127532958984","124.360000610352","105.757499694824","364.432739257812","102.839996337891","60.1629104614258","202.901962280273","63.1699981689453","76.3899993896484","426.247924804688","606.630004882812","461.049987792969","84.9300003051758","243.449996948242","298","151.872985839844","222.332092285156","215.742202758789","185.464584350586","114.944068908691","246.399993896484","70.5717468261719","208.240005493164","1364.55004882812","35.3482055664062","281.579986572266","534.27001953125","234.044219970703","151.567001342773","196.431838989258","251.329040527344","108.911026000977","394.492523193359","480.472595214844","149.3583984375","383.088104248047","187.699996948242","12.7978582382202","342.440002441406","355.384765625","62.4382972717285","155.131546020508","182.701385498047"
"2","144.061584472656","102.70384979248","105.662330627441","604.710021972656","219.478439331055","76.5243911743164","225.374008178711","374.399993896484","624.820007324219","60.1068649291992","43.8300018310547","51.9974174499512","224.880020141602","72.1999969482422","97.64501953125","112.889427185059","364","110.01000213623","77.756233215332","123.37565612793","234.027389526367","123.199996948242","106.877502441406","366.940216064453","104.519996643066","59.8949241638184","204.608337402344","64.0199966430664","76.4199981689453","426.424133300781","611.640014648438","465.690002441406","85.0899963378906","243.979995727539","300.6533203125","151.669082641602","223.999618530273","214.55046081543","186.820785522461","116.033638000488","246.289993286133","70.0568237304688","221.360000610352","1376.98999023438","35.5185813903809","282.380004882812","534.02001953125","235.578308105469","152.332611083984","199.495025634766","254.241729736328","109.324211120605","398.937164306641","489.0673828125","148.846954345703","383.684783935547","188.869995117188","12.6819181442261","345.619995117188","357.869354248047","61.8330421447754","157.88346862793","182.720947265625"
"3","144.660888671875","102.077079772949","105.548042297363","605.820007324219","218.380676269531","76.1480255126953","225.280197143555","371.899993896484","625.849975585938","59.4870071411133","43.7900009155273","51.6213493347168","221.945281982422","73.0899963378906","96.8828277587891","112.038070678711","366.950012207031","109.089996337891","77.682014465332","122.352569580078","235.438339233398","120.389999389648","107.930000305176","365.952819824219","104.76000213623","59.5376167297363","201.010330200195","64.4700012207031","74.4700012207031","429.095825195312","615.880004882812","469.130004882812","85.129997253418","242.309997558594","301.806671142578","150.751419067383","221.091934204102","210.345474243164","185.572692871094","114.898292541504","248.490005493164","69.4959259033203","212.039993286133","1356.59997558594","35.0164260864258","280.549987792969","529.799987792969","237.835510253906","153.7744140625","200.548599243164","254.144958496094","109.955085754395","402.24853515625","490.865875244141","147.253509521484","380.672546386719","187.520004272461","12.6373271942139","346.950012207031","356.487945556641","61.5544242858887","156.070999145508","182.231384277344"
"4","144.100860595703","102.739669799805","106.366996765137","617.390014648438","220.429885864258","76.5902404785156","224.905075073242","349.160003662109","631.900024414062","60.0248184204102","43.7099990844727","51.5388031005859","223.698532104492","72.8000030517578","97.6125335693359","111.71883392334","366.779998779297","109.26000213623","77.719108581543","122.380989074707","234.482330322266","121.330001831055","106.25","366.291595458984","103.800003051758","60.0110549926758","199.333190917969","65","75.1399993896484","431.317352294922","614.929992675781","468.070007324219","86.129997253418","240.889999389648","301.523345947266","151.437316894531","222.04719543457","225.721725463867","185.720108032227","115.109931945801","249.660003662109","70.2131423950195","220.139999389648","1355.41003417969","35.141960144043","277.040008544922","544.450012207031","240.346740722656","150.691925048828","199.134048461914","252.935424804688","108.737846374512","395.014892578125","492.197326660156","146.968276977539","383.858001708984","191.940002441406","12.8067770004272","344.579986572266","357.322723388672","61.3715705871582","155.995086669922","181.506866455078"
"5","144.700164794922","101.163764953613","107.338302612305","614.97998046875","222.012557983398","77.3335571289062","226.199295043945","347.929992675781","633.559997558594","60.8360900878906","44.0999984741211","52.5385780334473","225.918640136719","73.9000015258789","99.0669250488281","112.550811767578","367.899993896484","109.160003662109","78.006721496582","122.797798156738","233.789489746094","121.669998168945","107.589996337891","368.702392578125","103.569999694824","60.6363525390625","202.44367980957","65.8899993896484","75.0100021362305","432.276428222656","620.640014648438","474.660003662109","86.8300018310547","245.339996337891","302.783325195312","152.21598815918","223.932586669922","223.057312011719","188.039398193359","114.962707519531","254.649993896484","70.9855194091797","219.940002441406","1352.02001953125","34.9536514282227","278.339996337891","550.549987792969","238.910354614258","151.567001342773","201.738739013672","254.493362426758","108.003044128418","406.239959716797","489.723175048828","148.69938659668","389.709167480469","194.339996337891","12.9940614700317","337.779998779297","357.839538574219","61.7661590576172","157.610656738281","183.318206787109"
"6","145.338760375977","101.181648254395","110.17601776123","621.52001953125","222.158950805664","76.8254699707031","228.543807983398","340.269989013672","643.700012207031","60.5261726379395","43.3300018310547","52.5110626220703","228.719985961914","74.3000030517578","98.8345336914062","111.0029296875","366.059997558594","109.610000610352","78.0438232421875","124.720794677734","238.288803100586","121.819999694824","106.790000915527","368.779846191406","102.580001831055","60.4755592346191","201.761138916016","67.4700012207031","74.3300018310547","435.378662109375","631.900024414062","481.5","85.6100006103516","243.389999389648","304.136657714844","152.03987121582","226.295623779297","221.119506835938","188.746963500977","113.867637634277","254.029998779297","70.6728973388672","222.940002441406","1381.67004394531","35.0792007446289","283.239990234375","542.700012207031","241.441162109375","153.973281860352","202.158187866211","251.938674926758","110.091163635254","400.504272460938","501.875122070312","145.886337280273","386.350463867188","197.820007324219","12.8246126174927","343.959991455078","360.960144042969","60.8422470092773","155.567428588867","183.171371459961"
"7","146.203369140625","100.554870605469","111.613945007324","612.799987792969","221.811309814453","77.0230712890625","231.535400390625","345.720001220703","645.559997558594","60.407657623291","43.2299995422363","52.6486473083496","225.528015136719","73.75","99.2393569946289","110.712699890137","371.649993896484","109.150001525879","77.4593353271484","125.971214294434","237.569625854492","120.559997558594","106.699996948242","369.418884277344","103.589996337891","60.681022644043","200.747085571289","68.8499984741211","74","433.526123046875","637.080017089844","479.179992675781","84.6999969482422","244.089996337891","306.906677246094","152.049133300781","231.272979736328","222.23371887207","188.491470336914","114.603828430176","256.829986572266","70.9947204589844","234.460006713867","1397.65002441406","35.0612602233887","283.420013427734","545.97998046875","240.659408569336","154.957672119141","201.407028198242","252.627426147461","110.788833618164","402.711791992188","504.995056152344","143.840469360352","383.116973876953","196.779998779297","12.9494705200195","345.149993896484","357.779876708984","60.8711280822754","153.172653198242","184.06233215332"
"8","145.220886230469","100.859313964844","110.395034790039","611","222.991439819336","75.7434158325195","228.065521240234","346.269989013672","644.289978027344","60.9090118408203","42.7599983215332","52.8160934448242","225.890060424805","72.9300003051758","99.0269546508789","110.761070251465","369.920013427734","108.120002746582","77.412956237793","125.01448059082","235.368179321289","120.430000305176","106.75","369.651184082031","103.569999694824","61.5117835998535","201.585632324219","66.7200012207031","74.1900024414062","433.947662353516","631.549987792969","473.209991455078","84.129997253418","242.320007324219","306.546661376953","152.707260131836","231.147308349609","222.379058837891","187.941162109375","114.226524353027","253.059997558594","71.5096282958984","234.979995727539","1385.33996582031","35.1150741577148","274.510009765625","558.539978027344","240.884185791016","153.535766601562","201.250961303711","251.938674926758","111.397468566895","395.970794677734","501.249145507812","144.027328491211","385.368865966797","201.630004882812","12.7443475723267","345.609985351562","356.885498046875","60.880744934082","152.830490112305","182.466384887695"
"9","145.201217651367","102.30989074707","111.56632232666","618.960021972656","225.873168945312","76.6560974121094","231.422866821289","348.920013427734","657.710021972656","61.1202125549316","43.3600006103516","53.6024627685547","227.062042236328","73.6600036621094","100.708755493164","112.647567749023","372.640014648438","110.849998474121","76.2810668945312","125.942810058594","238.744873046875","122.330001831055","106.709999084473","371.606964111328","104.809997558594","61.7529602050781","206.548736572266","67.9899978637695","75.5100021362305","438.760345458984","638.950012207031","470.660003662109","84.0199966430664","247.139999389648","309.1533203125","153.838150024414","232.940505981445","223.938980102539","189.346466064453","116.066963195801","256.049987792969","71.7119216918945","235.110000610352","1381.13000488281","35.473747253418","278.589996337891","574.619995117188","242.213088989258","153.724670410156","203.836090087891","254.819641113281","112.300521850586","400.947631835938","506.276824951172","147.056777954102","389.651397705078","202.210006713867","13.1545925140381","351.179992675781","360.771301269531","61.6217918395996","155.035278320312","185.335174560547"
"10","146.405380249023","103.124710083008","112.404304504395","624.169982910156","227.519866943359","76.9289703369141","232.998382568359","348.720001220703","666.719970703125","61.4783401489258","43.9199981689453","53.5469551086426","226.804763793945","73.879997253418","101.895774841309","112.821716308594","374.220001220703","111.120002746582","76.4759140014648","126.293312072754","240.341125488281","122.440002441406","107.897499084473","374.879364013672","106.589996337891","61.9048194885254","209.493469238281","67.7099990844727","75.9700012207031","442.818267822266","648.200012207031","474.730010986328","83.5800018310547","249.149993896484","312.720001220703","156.637573242188","232.906982421875","226.680953979492","189.258010864258","116.711112976074","257","72.272819519043","234.300003051758","1401.15002441406","35.6261940002441","281.339996337891","583.640014648438","244.802490234375","154.689193725586","204.499496459961","257.458099365234","111.226753234863","404.061920166016","510.042663574219","148.660049438477","393.953063964844","200.539993286133","13.1189193725586","355.489990234375","363.484497070312","61.487060546875","155.396392822266","188.673919677734"
