"","AEE","AEP","AES","ATO","AWK","CMS","CNP","D","DTE","DUK","ED","EIX","ES","ETR","EVRG","EXC","FE","LNT","NEE","NI","NRG","PCG","PEG","PNW","PPL","SO","SRE","WEC","XEL"
"1","77.0426025390625","75.0678024291992","24.0791149139404","92.2098541259766","153.475555419922","53.7538833618164","23.2484912872314","67.313102722168","103.550369262695","90.5957946777344","68.0903778076172","49.1297225952148","73.3684539794922","93.649543762207","57.078971862793","29.0704727172852","33.793155670166","52.491870880127","69.5098037719727","23.0212593078613","34.2869262695312","10.2479801177979","54.569694519043","72.692268371582","25.2805671691895","55.9882507324219","62.8851470947266","82.7940216064453","61.6369018554688"
"2","76.2388229370117","75.1309814453125","23.7015838623047","91.6232986450195","151.953170776367","53.8273620605469","23.1086692810059","67.0913925170898","102.646621704102","89.7820281982422","67.4293060302734","48.7443923950195","72.9410934448242","92.5113220214844","55.4394454956055","28.8233947753906","33.5338363647461","52.4003143310547","69.304069519043","22.8036499023438","33.7623596191406","10.0981550216675","54.1699104309082","72.3667678833008","25.1636905670166","55.6120109558105","62.199333190918","82.3374404907227","61.278881072998"
"3","75.4720001220703","74.5805206298828","23.8120803833008","90.6363906860352","148.784698486328","53.763069152832","23.0247707366943","66.1158447265625","101.719482421875","88.7357788085938","66.5327835083008","48.1751556396484","71.5953826904297","90.862190246582","54.7227058410645","28.7063636779785","33.0420036315918","51.9608154296875","68.5933532714844","22.5407066345215","33.2920608520508","10.0382261276245","53.7792282104492","71.381477355957","24.9838886260986","55.0655632019043","61.5680351257324","81.2416915893555","60.8015098571777"
"4","75.0654983520508","74.7610015869141","23.9133701324463","90.7388076782227","147.252807617188","54.2773742675781","22.84765625","66.169059753418","101.462387084961","88.5926895141602","66.4965667724609","48.4116134643555","72.0863800048828","90.4857788085938","54.9914817810059","28.7648811340332","33.247673034668","51.6586761474609","68.1538314819336","22.5225715637207","33.9432411193848","9.98828411102295","53.9427680969238","71.7069625854492","25.1097507476807","54.6266098022461","61.5634880065918","81.3421401977539","60.8290481567383"
"5","75.518196105957","76.493537902832","24.1435718536377","92.1074295043945","147.700012207031","55.2233238220215","23.071382522583","66.6124725341797","102.272651672363","89.173942565918","66.89501953125","49.917896270752","73.0047378540039","91.0414428710938","55.2423324584961","29.0184555053711","33.7037391662598","52.3087501525879","69.0702743530273","22.7583179473877","34.8114929199219","10.1580848693848","54.3879737854004","72.692268371582","25.4423885345459","55.1193084716797","62.4355049133301","82.2735137939453","61.6001777648926"
"6","75.6844940185547","76.6108474731445","24.4290218353271","91.9398498535156","149.698150634766","55.1131134033203","22.9595184326172","66.7277679443359","102.062294006348","89.4332809448242","66.849723815918","50.4696273803711","74.0685729980469","91.7136383056641","55.2960891723633","29.1745052337646","34.0346145629883","52.2904472351074","70.2766265869141","22.8127212524414","36.9369049072266","10.3378744125366","54.7332382202148","72.7802352905273","25.3974380493164","55.0834846496582","62.3492050170898","83.0588150024414","61.5634765625"
"7","73.8274917602539","75.7355422973633","24.2816944122314","89.76123046875","147.937881469727","54.0477714538574","22.8290138244629","65.1934967041016","100.885848999023","87.7431640625","65.2468643188477","50.285717010498","72.859260559082","90.0376586914062","54.328498840332","28.9729385375977","33.5696067810059","51.036060333252","69.2760009765625","22.3412322998047","35.9510765075684","10.0881671905518","54.0517959594727","71.6189880371094","24.9659099578857","54.1607894897461","60.7323303222656","81.2873306274414","60.3241271972656"
"8","73.9476013183594","76.3311157226562","24.0054492950439","89.4819107055664","146.653335571289","54.2590065002441","22.8569812774658","65.2467041015625","100.971549987793","88.2797088623047","64.9480209350586","50.6360168457031","72.9592742919922","89.3564910888672","54.1403617858887","28.8103923797607","33.2745056152344","51.0543670654297","68.5278778076172","22.2142925262451","36.4485130310059","10.1580848693848","54.2789497375488","72.1116485595703","25.1457080841064","54.2055778503418","60.1691627502441","81.2234191894531","60.4801788330078"
"9","74.5573577880859","76.9356994628906","24.2448616027832","90.2919235229492","148.023498535156","55.1682205200195","23.0527381896973","65.7256164550781","102.419891357422","89.0219345092773","65.6905975341797","50.7148399353027","72.6137542724609","91.0235214233398","55.0004386901855","29.2460250854492","33.6769104003906","51.5213241577148","69.3788681030273","22.4863052368164","36.6474838256836","10.3278856277466","54.7332382202148","73.0881576538086","25.4064292907715","55.0745239257812","60.9003791809082","82.3556976318359","61.5359344482422"
"10","74.5573577880859","76.8815536499023","24.0883235931396","90.4129333496094","149.269973754883","55.0212783813477","23.2205276489258","65.8142929077148","102.29174041748","88.9861602783203","65.627197265625","50.5403175354004","73.3775405883789","91.2475814819336","55.1706657409668","29.3435535430908","33.5159454345703","51.6586761474609","69.4630355834961","22.5135059356689","37.4524192810059","10.4077920913696","54.6060371398926","72.929801940918","25.3974380493164","55.1193084716797","61.2183074951172","82.2004699707031","61.3431358337402"
"11","75.2040710449219","76.9176559448242","23.9409923553467","90.3850173950195","152.124420166016","54.9294357299805","23.2018852233887","66.8608093261719","102.804389953613","89.2723159790039","66.0528335571289","50.8237991333008","73.6866836547852","91.6957244873047","55.2871398925781","29.1810073852539","33.6858520507812","51.6312026977539","70.2579040527344","22.5497741699219","37.072566986084","10.4876976013184","54.7877578735352","73.4312286376953","25.3255195617676","55.2178497314453","61.0717735290527","82.821403503418","61.5726470947266"
