"","ACGL","AFL","AIG","AIZ","AJG","ALL","AMP","AON","AXP","BAC","BEN","BK","BLK","BRK.B","BRO","BX","C","CB","CBOE","CFG","CINF","CMA","CME","COF","CPAY","DFS","EG","FDS","FI","FIS","FITB","GL","GPN","GS","HBAN","HIG","ICE","IVZ","JKHY","JPM","KEY","L","MA","MCO","MET","MKTX","MMC","MS","MSCI","MTB","NDAQ","NTRS","PFG","PGR","PNC","PRU","PYPL","RF","RJF","SCHW","SPGI","STT","SYF","TFC","TROW","TRV","USB","V","WFC","WRB","WTW"
"1","37.9000015258789","49.6487579345703","44.8054008483887","147.110641479492","135.420043945312","118.851974487305","230.818267822266","229.223602294922","159.087890625","37.0400047302246","28.4813385009766","45.5079078674316","801.709228515625","277.100006103516","51.4666976928711","88.8016052246094","61.3980331420898","152.053100585938","113.574195861816","40.1852531433105","108.847282409668","62.0859184265137","191.194152832031","145.985900878906","263","110.824600219727","230.059188842773","321.983489990234","108.48999786377","135.745712280273","33.6800308227539","93.5934982299805","189.355178833008","331.899536132812","11.9949188232422","58.4229469299316","109.450782775879","23.9783763885498","161.460006713867","139.093826293945","17.9197273254395","53.945613861084","367.190185546875","347.093078613281","54.753231048584","443.195556640625","131.118835449219","78.0303726196289","502.142761230469","134.680526733398","57.3236122131348","103.640327453613","55.8945198059082","91.9654388427734","166.192810058594","88.1882171630859","283.100006103516","17.7684154510498","81.8148803710938","70.1299285888672","389.979858398438","74.0087280273438","44.7528610229492","47.703483581543","172.42707824707","140.035705566406","49.1750411987305","229.581451416016","40.3853492736816","46.2994232177734","221.214920043945"
"2","38.0099983215332","49.4242324829102","44.617733001709","147.20573425293","135.953338623047","119.167282104492","232.367584228516","228.792556762695","158.701950073242","37.2450141906738","28.2792816162109","45.3062973022461","804.967163085938","276.920013427734","51.8493194580078","88.8919372558594","61.8554954528809","152.33039855957","115.450424194336","40.2647361755371","109.229179382324","62.0859184265137","191.061386108398","145.985900878906","262.200012207031","110.956016540527","230.871444702148","323.077392578125","108.300003051758","136.081420898438","33.822624206543","92.9578018188477","189.237854003906","331.890197753906","11.9949188232422","58.1597366333008","110.17276763916","23.6753044128418","160.356857299805","138.890380859375","17.8936176300049","53.8071823120117","372.061889648438","350.840698242188","54.3770866394043","445.736694335938","131.484313964844","77.8124618530273","508.570617675781","134.206207275391","57.2979545593262","102.62370300293","56.0033798217773","92.3056793212891","165.976226806641","87.8819274902344","286.75","17.7863063812256","81.4575119018555","69.8985366821289","394.216217041016","73.1744537353516","44.6596221923828","47.5809478759766","173.34684753418","139.706008911133","49.1399040222168","231.158889770508","40.6279563903809","46.2309188842773","221.435989379883"
"3","38.3899993896484","49.2932510375977","44.7866401672363","147.357833862305","136.166687011719","118.536666870117","232.463195800781","230.732162475586","160.168426513672","37.4593315124512","28.2002105712891","45.2421531677246","805.581481933594","274.660003662109","51.9179916381836","89.9487762451172","62.4744110107422","152.492919921875","114.19962310791","40.5561943054199","108.782089233398","62.7446250915527","190.096603393555","147.380844116211","255.199996948242","111.894821166992","232.137069702148","320.860321044922","107.370002746582","135.50325012207","33.7958908081055","92.9578018188477","186.529708862305","335.157806396484","12.1702823638916","58.1127433776855","112.280921936035","23.7822742462158","159.011749267578","139.731811523438","17.9284324645996","53.6193199157715","369.207763671875","348.996154785156","54.3587303161621","445.746429443359","132.224822998047","77.9668197631836","510.197113037109","133.741012573242","57.0606803894043","102.80687713623","56.4659881591797","92.2765274047852","167.077255249023","88.4157485961914","288.119995117188","17.911563873291","82.7911987304688","70.274543762207","391.258575439453","73.4374313354492","45.0512046813965","47.8172798156738","173.815551757812","139.329147338867","49.3155860900879","229.934158325195","41.0198631286621","45.8510627746582","221.186096191406"
"4","38.8400001525879","49.7329559326172","45.2370376586914","147.823715209961","136.079406738281","119.566024780273","234.729797363281","233.612182617188","162.281234741211","38.0463829040527","28.577974319458","46.0485687255859","807.368713378906","275.489990234375","52.2123146057129","89.9849090576172","63.9723587036133","154.127914428711","116.547309875488","41.1214256286621","109.67626953125","63.5877685546875","192.052688598633","148.511871337891","256.630004882812","113.246658325195","238.587936401367","322.921112060547","108.5","135.922882080078","34.3930282592773","94.180305480957","187.233627319336","342.305603027344","12.4684028625488","58.4793472290039","113.676734924316","24.2457962036133","159.137588500977","141.017105102539","18.2243385314941","54.4993019104004","368.823913574219","353.261016845703","55.0559959411621","448.900970458984","132.859558105469","79.0654449462891","519.176696777344","134.862976074219","57.009391784668","104.702735900879","57.0737342834473","93.0250778198242","170.732299804688","89.7109756469727","293.209991455078","18.1799621582031","83.9270935058594","70.756591796875","401.361480712891","74.2354583740234","45.6852149963379","48.4212226867676","175.252471923828","141.279235839844","49.965633392334","231.462631225586","42.1582679748535","46.435188293457","223.492645263672"
"5","39.2999992370605","50.7246170043945","45.9970855712891","150.723526000977","137.592025756836","121.281692504883","237.790130615234","238.735382080078","163.477523803711","38.7825126647949","29.1490058898926","46.7267036437988","813.59619140625","278.380004882812","52.4771995544434","89.0184020996094","64.1786651611328","155.170074462891","117.163078308105","41.8014984130859","110.915084838867","64.7119903564453","193.061721801758","150.792755126953","262.339996337891","116.006721496582","242.01643371582","324.337310791016","108.98999786377","137.051177978516","35.2040596008301","95.8624420166016","187.937591552734","342.324157714844","12.8103618621826","59.6167831420898","114.860763549805","24.4419002532959","161.208435058594","142.441024780273","18.5028381347656","54.9936714172363","373.607086181641","356.208374023438","55.9826202392578","455.619049072266","134.350189208984","80.2639541625977","517.881286621094","138.037292480469","57.0959548950195","106.488693237305","58.3799324035645","94.1527709960938","174.50471496582","91.3037261962891","289.600006103516","18.4304790496826","84.2716827392578","71.1325988769531","402.513244628906","75.4778594970703","46.431095123291","49.1302185058594","176.662490844727","142.927795410156","50.8177146911621","232.520782470703","43.2780113220215","46.9125442504883","226.327743530273"
"6","38.7599983215332","49.9294166564941","45.0024566650391","148.850555419922","136.409057617188","120.32649230957","235.810470581055","236.012130737305","158.972091674805","38.7266159057617","28.5867614746094","46.6075744628906","817.98046875","276.609985351562","51.967041015625","89.6506881713867","64.1427841186523","151.976623535156","114.882751464844","40.6533355712891","109.33162689209","63.0081100463867","190.494873046875","147.032089233398","255.080001831055","111.753982543945","237.586807250977","329.171844482422","108.129997253418","133.852691650391","34.4732398986816","94.0727157592773","185.395629882812","342.268402099609","12.5648527145386","58.5075492858887","114.350563049316","24.1833972930908","159.902038574219","142.699920654297","17.9893531799316","53.896167755127","361.86572265625","356.950073242188","54.8174591064453","457.235229492188","133.62890625","79.6283798217773","520.5302734375","134.096740722656","56.788143157959","104.959190368652","57.2732887268066","94.6194076538086","172.916366577148","89.4396743774414","293.649993896484","18.1978607177734","82.2105178833008","70.6505508422852","400.990539550781","74.4531097412109","45.2097091674805","48.3249549865723","177.147476196289","140.789352416992","50.5454025268555","229.356094360352","42.7274703979492","46.5859298706055","222.358596801758"
"7","38.8899993896484","50.0978050231934","44.4769897460938","148.146957397461","136.913269042969","120.159576416016","237.359771728516","237.941925048828","158.460784912109","38.1022872924805","28.2854690551758","46.7541885375977","813.130798339844","276.209991455078","52.5066337585449","89.3797073364258","62.5013236999512","151.450759887695","115.431190490723","40.4060440063477","108.381561279297","62.3757400512695","188.795471191406","145.288452148438","253.550003051758","109.726181030273","238.956298828125","328.273315429688","106.589996337891","132.342025756836","34.18603515625","93.0654067993164","183.332733154297","345.898010253906","12.5210123062134","58.3571472167969","114.321685791016","23.6396522521973","160.172988891602","142.52424621582","17.8588047027588","53.7972946166992","362.1806640625","357.525909423828","54.5697441101074","459.688781738281","135.542678833008","82.2977905273438","528.029479980469","133.038650512695","56.7047843933105","105.261421203613","57.1100082397461","95.6984939575195","171.896530151367","89.0283660888672","292.760009765625","17.9473495483398","83.1613159179688","70.5927124023438","400.775756835938","74.5437927246094","44.7528610229492","48.4037208557129","177.632431030273","140.855255126953","50.1383476257324","231.178466796875","41.7943572998047","46.5984916687012","223.146636962891"
"8","38.939998626709","50.2007217407227","44.6646575927734","148.4892578125","135.827285766602","120.966369628906","238.019683837891","233.886459350586","159.406265258789","38.4191055297852","28.3475017547607","46.9466361999512","814.47119140625","277.920013427734","52.1338272094727","87.7447738647461","63.4610786437988","151.967041015625","114.545997619629","40.5120315551758","108.623733520508","62.6567993164062","188.246688842773","145.797424316406","256.059997558594","111.049896240234","238.021240234375","327.785003662109","106.889999389648","132.108901977539","34.3116874694824","93.1534194946289","183.352294921875","352.312469482422","12.512243270874","58.2537384033203","114.263931274414","23.8268451690674","158.227905273438","143.818756103516","17.97194480896","54.0346031188965","359.316650390625","353.651428222656","54.9091987609863","451.364196777344","135.292663574219","83.2511520385742","519.176696777344","132.546051025391","56.368106842041","105.893371582031","57.3186454772949","95.4748840332031","172.158248901367","89.6759719848633","291.480010986328","18.0547142028809","83.1421356201172","70.1974258422852","400.648895263672","75.0913772583008","45.2376861572266","48.5787887573242","177.794052124023","141.034286499023","50.4126663208008","229.091583251953","42.2609100341797","46.7492332458496","221.061172485352"
"9","39.9500007629395","50.518798828125","45.293342590332","149.126266479492","136.156967163086","123.145706176758","240.037612915039","233.808074951172","161.476226806641","38.7079772949219","28.5867595672607","47.1299133300781","818.436584472656","280.170013427734","52.5066337585449","87.7176742553711","63.6943016052246","154.720687866211","114.016807556152","41.024284362793","109.834609985352","63.3945503234863","189.592086791992","148.115982055664","256.510009765625","112.364196777344","242.564254760742","327.999877929688","108.339996337891","134.020538330078","34.7694091796875","94.7292938232422","187.918014526367","348.098114013672","12.6525363922119","58.9305610656738","114.398696899414","24.0229473114014","159.195587158203","145.24267578125","18.1808204650879","54.5783996582031","364.847808837891","356.520660400391","55.5147171020508","451.967895507812","136.889068603516","83.5507736206055","520.101806640625","134.343048095703","56.4418601989746","106.534477233887","57.6361236572266","96.0873413085938","173.042663574219","90.4023284912109","289","18.2783832550049","84.3710174560547","70.9301605224609","402.357116699219","76.4968185424805","45.5640068054199","49.2790107727051","179.56330871582","143.031433105469","50.9524536132812","230.394668579102","42.3728904724121","47.7102241516113","222.003005981445"
"10","39.5099983215332","50.6591300964355","45.0869026184082","148.793487548828","136.040603637695","123.553726196289","239.970657348633","234.699493408203","162.985137939453","38.3445663452148","28.3120536804199","46.9557991027832","831.841064453125","279.119995117188","52.6537933349609","88.205451965332","63.1561164855957","154.290451049805","113.535720825195","40.6709976196289","109.760093688965","62.9993362426758","188.990158081055","148.351608276367","259.5","112.842971801758","238.342361450195","330.578338623047","109.269996643066","135.745712280273","34.5001602172852","93.8766708374023","189.042358398438","347.327575683594","12.5823888778687","58.4323501586914","114.389083862305","23.5594253540039","160.463317871094","145.10319519043","18.0328674316406","54.3707695007324","369.099456787109","358.989837646484","55.4321441650391","451.636871337891","136.860260009766","83.5598602294922","527.776306152344","133.111633300781","57.0350341796875","106.90998840332","57.3912086486816","96.2137451171875","173.990310668945","90.2535552978516","290.239990234375","18.1262874603271","84.2558059692383","70.1877899169922","404.729095458984","76.9348907470703","45.7318267822266","49.0426902770996","182.814392089844","142.466201782227","50.9436073303223","233.804290771484","42.0556221008301","47.7165069580078","222.675720214844"
