"","CHTR","CMCSA","DIS","EA","FOX","FOXA","GOOG","GOOGL","IPG","LYV","META","MTCH","NFLX","NWS","NWSA","OMC","PARA","T","TMUS","TTWO","VZ","WBD"
"54","811.330017089844","57.76953125","180.412017822266","144.488739013672","32.7833251953125","35.5480346679688","144.774993896484","143.739501953125","34.0740966796875","86.0800018310547","375.861206054688","148.190002441406","590.530029296875","21.4850234985352","21.8931922912598","66.8512344360352","38.1083679199219","17.4110431671143","134.871551513672","160.559997558594","47.5804290771484","28.3099994659424"
"55","800.830017089844","56.4404258728027","183.741165161133","143.12858581543","32.6968765258789","35.4131278991699","145.518997192383","144.280502319336","33.635612487793","87.6800003051758","381.774932861328","159.360000610352","606.710021972656","21.1160984039307","21.5438365936279","66.2528991699219","38.422248840332","17.3225975036621","133.354248046875","159.110000610352","47.0568084716797","27.9599990844727"
"56","799.789978027344","56.2906608581543","184.548538208008","142.024749755859","31.9860725402832","34.6518630981445","144.883499145508","143.690994262695","33.9370765686035","86.6900024414062","377.169830322266","158.289993286133","606.049987792969","21.0481376647949","21.4273815155029","65.953727722168","37.7667961120605","17.4363117218018","132.560897827148","159.449996948242","47.1340751647949","26.9799995422363"
"57","785.409973144531","55.7477912902832","185.306076049805","140.260467529297","32.3414726257324","35.0373153686523","144.913497924805","143.541000366211","33.635612487793","86.379997253418","377.599365234375","157.710006713867","597.539978027344","20.9025115966797","21.398265838623","65.3825836181641","37.2405853271484","17.3225975036621","130.349395751953","157.029998779297","46.7306251525879","26.7900009155273"
"58","787.119995117188","55.5044326782227","183.521881103516","143.039886474609","31.9860725402832","34.6325874328613","141.921005249023","140.876007080078","33.0326843261719","86.0800018310547","378.288635253906","164.380004882812","598.719970703125","20.8151359558105","21.2429981231689","64.9746170043945","36.6036033630371","17.1709766387939","129.724624633789","153.940002441406","46.5503692626953","26.1499996185303"
"59","793.070007324219","56.1315460205078","184.379089355469","142.596374511719","32.3991088867188","35.0180435180664","143.464996337891","142.332504272461","33.8091773986816","89.1100006103516","376.110961914062","162.009994506836","589.289978027344","20.8054275512695","21.2332897186279","65.7361450195312","37.2682876586914","17.3857707977295","128.941192626953","152.929992675781","46.8851318359375","27.0599994659424"
"60","761.859985351562","52.0318946838379","181.807464599609","143.276412963867","31.5442237854004","34.0158767700195","143.406005859375","142.544494628906","33.8183135986328","88.6800003051758","376.130920410156","157.360000610352","577.760009765625","20.8834590911865","21.45751953125","65.6908187866211","36.1445655822754","17.2657413482666","127.850303649902","152.149993896484","46.7048759460449","26.2600002288818"
"61","765.200012207031","53.3516464233398","183.810943603516","135.06640625","32.7160911560059","35.2300415039062","145.205993652344","144.429504394531","34.402961730957","86.5400009155273","373.523712158203","158.889999389648","582.869995117188","21.0395221710205","21.3990268707275","67.0144195556641","37.4911727905273","17.4173622131348","126.015655517578","152.690002441406","46.8422203063965","26.8099994659424"
"62","765.239990234375","53.6137161254883","182.744415283203","134.001983642578","33.321231842041","35.9720268249512","144.373504638672","143.610000610352","33.8639907836914","86.8099975585938","372.664581298828","160.059997558594","586.5","21.458948135376","21.9059734344482","66.4523544311523","37.5468864440918","17.4363117218018","127.840393066406","151.889999389648","46.7220420837402","26.9899997711182"
"63","763.47998046875","53.4546089172363","182.873992919922","131.951904296875","33.7150535583496","36.3382034301758","141.463500976562","140.800003051758","33.7909088134766","86.8300018310547","364.333435058594","157.139999389648","589.349975585938","21.1955890655518","21.7889862060547","66.261962890625","37.1382675170898","17.3920860290527","126.937934875488","151.660003662109","46.5932807922363","26.8799991607666"
"64","755.900024414062","52.8742866516113","178.02978515625","128.216491699219","33.1675415039062","35.7793045043945","139.016998291016","138.719497680664","33.0875053405762","86.7399978637695","355.322998046875","151.460006713867","575.429992675781","20.8054275512695","21.3112869262695","65.4290008544922","36.0888519287109","17.1899299621582","124.587600708008","148.839996337891","46.576114654541","26.0100002288818"
"65","747.630004882812","52.4718055725098","170.613952636719","124.934448242188","33.119514465332","35.7793045043945","139.646499633789","139.033004760742","32.9047966003418","85.2200012207031","357.101135253906","151.919998168945","573.140014648438","21.1760787963867","21.6524963378906","64.8523330688477","35.9031143188477","17.0319900512695","123.863662719727","145.720001220703","46.3786888122559","25.1499996185303"
"66","751.549987792969","52.4343681335449","173.085891723633","124.579635620117","34.0224227905273","36.8200149536133","140.938507080078","140.283493041992","33.7909088134766","88.3199996948242","342.846221923828","153.649993896484","590.650024414062","21.9759140014648","22.5396575927734","66.3077239990234","36.4046058654785","17.0635814666748","126.670181274414","145.25","46.4044418334961","25.4400005340576"
"67","741.950012207031","52.5747604370117","175.677444458008","126.048179626465","34.2721633911133","37.0223770141602","141.826507568359","141.216003417969","35.0881042480469","91.5899963378906","345.593322753906","154.770004272461","593.260009765625","23.1366481781006","23.4073181152344","67.8821411132812","37.2032775878906","17.1772937774658","129.853546142578","146.679992675781","46.7134590148926","25.5300006866455"
"68","739.169982910156","52.6402854919434","175.428268432617","128.029220581055","34.8773078918457","37.8318176269531","142.632995605469","142.214996337891","35.5174522399902","92.7399978637695","352.585906982422","160.910003662109","592.390014648438","23.5463180541992","23.758279800415","68.4038848876953","37.1382675170898","17.1393890380859","128.356063842773","147.360000610352","46.6705436706543","25.2999992370605"
"69","734.409973144531","52.687084197998","177.680908203125","130.07926940918","35.4728469848633","38.6605339050293","141.501007080078","141.072006225586","35.3712882995605","93.6399993896484","353.205230712891","164.639999389648","592.640014648438","23.4195156097412","23.5827980041504","69.374137878418","37.5561752319336","17.3099613189697","126.719757080078","148.649993896484","46.7563819885254","26.1399993896484"
"70","727.489990234375","51.2456550598145","173.953079223633","131.843490600586","35.4056091308594","38.3810844421387","136.184005737305","135.830001831055","34.2933387756348","92.4199981689453","340.288940429688","156.490005493164","583.849975585938","23.1756629943848","23.3195743560791","67.6532821655273","37.3611488342285","17.2088832855225","125.261962890625","149.110000610352","46.4902763366699","25.6000003814697"
"71","733.179992675781","52.3501319885254","172.119033813477","135.953414916992","35.7802124023438","38.7858047485352","134.52099609375","134.353500366211","34.2476615905762","91.4100036621094","339.250030517578","152.380004882812","599.059997558594","22.9903354644775","23.2123374938965","67.3237686157227","37.2589950561523","17.3099613189697","127.037117004395","151.600006103516","46.6791229248047","25.4200000762939"
