"","AAL","ADP","ALLE","AME","AOS","AXON","BA","BLDR","BR","CARR","CAT","CHRW","CMI","CPRT","CSX","CTAS","DAL","DAY","DE","DOV","EFX","EMR","ETN","EXPD","FAST","FDX","FTV","GD","GE","GNRC","GWW","HII","HON","HUBB","HWM","IEX","IR","ITW","J","JBHT","JCI","LDOS","LHX","LMT","LUV","MAS","MMM","NDSN","NOC","NSC","ODFL","OTIS","PAYC","PAYX","PCAR","PH","PNR","PWR","RHI","ROK","ROL","RSG","RTX","SNA","SWK","TDG","TT","TXT","UAL","UBER","UNP","UPS","URI","VRSK","WAB","WM","XYL"
"1","22.4500007629395","185.754791259766","132.75032043457","131.333129882812","64.4127197265625","158.759994506836","245.279998779297","43.8800010681152","153.333923339844","44.6794281005859","200.998458862305","87.7376174926758","219.059387207031","32.9300003051758","30.8344249725342","352.936614990234","45.4384574890137","92.4100036621094","325.295806884766","140.883193969727","234.08056640625","89.2326507568359","135.814331054688","119.99577331543","47.9030838012695","277.512542724609","68.7267150878906","179.10791015625","81.5760955810547","389.209991455078","430.853820800781","200.321823120117","204.218566894531","171.25959777832","33.7738914489746","210.336975097656","46.757438659668","208.356353759766","130.053619384766","156.006378173828","62.5694732666016","101.602745056152","210.139923095703","354.709533691406","54.4772033691406","55.5108070373535","171.000778198242","213.437454223633","357.391265869141","249.69905090332","123.109024047852","77.9269561767578","354.269744873047","96.2747116088867","51.8599548339844","276.054870605469","63.0645637512207","87.7031478881836","82.9351348876953","267.426147460938","32.5129852294922","104.257545471191","82.2591094970703","205.412155151367","182.46484375","629.236999511719","172.142379760742","65.8900909423828","55.689998626709","48.1199989318848","204.394989013672","185.281478881836","294.312622070312","171.873321533203","78.1397857666016","133.304107666016","112.551155090332"
"2","22.1100006103516","186.057342529297","133.636825561523","131.234924316406","64.6793594360352","160.619995117188","243.779998779297","44.4300003051758","153.505477905273","44.3046989440918","200.923065185547","88.6768341064453","220.099456787109","32.8824996948242","30.663854598999","364.328643798828","45.0413513183594","94","329.358642578125","141.846145629883","233.482406616211","89.0916442871094","135.614929199219","122.192535400391","47.9868698120117","281.80078125","68.7959136962891","177.981369018555","80.586540222168","396.769989013672","428.414428710938","198.958450317383","203.736404418945","173.209243774414","33.5161628723145","210.676055908203","46.438549041748","208.832611083984","129.985061645508","156.651168823242","62.9373512268066","101.247444152832","209.205673217773","354.690979003906","53.945011138916","55.3876190185547","170.939453125","212.912551879883","356.701965332031","249.057754516602","123.858253479004","78.244270324707","359.096588134766","96.2468566894531","51.8421516418457","277.243286132812","63.2565422058105","88.4289398193359","82.8785552978516","272.062561035156","32.7153968811035","104.584480285645","81.6795501708984","204.713562011719","182.152755737305","636.805480957031","172.679260253906","65.3916015625","55.1699981689453","49.0499992370605","205.785751342773","187.176940917969","298.778350830078","172.217254638672","79.5554962158203","133.600616455078","112.599510192871"
"3","22.2000007629395","184.582427978516","133.116485595703","130.900985717773","64.8888626098633","165.979995727539","243.570007324219","44.1500015258789","152.199813842773","44.4106674194336","201.545272827148","87.7376174926758","221.018814086914","32.9199981689453","30.4643211364746","365.573791503906","44.9420776367188","96.0400009155273","334.798187255859","141.470596313477","230.168075561523","88.8284606933594","137.115142822266","121.628768920898","48.0241088867188","281.497833251953","68.2818603515625","175.380813598633","80.0917739868164","406.119995117188","430.214904785156","196.974548339844","202.951690673828","173.713317871094","33.5161628723145","210.850448608398","46.6478233337402","207.338394165039","129.162582397461","155.566772460938","62.6732330322266","99.4229965209961","208.979187011719","349.915191650391","53.4031372070312","54.724292755127","168.504211425781","211.823745727539","354.509399414062","248.227752685547","123.872947692871","77.7154159545898","362.632293701172","96.0796661376953","52.0616912841797","282.945465087891","63.6980895996094","89.3039016723633","82.7559661865234","272.654052734375","32.4069519042969","103.69987487793","80.950439453125","204.191955566406","182.180282592773","640.2099609375","172.305358886719","65.8502197265625","55.1199989318848","50.5099983215332","205.898529052734","185.919357299805","303.076782226562","168.719055175781","79.7718048095703","132.500595092773","112.299598693848"
"4","22.3500003814697","185.386077880859","133.665725708008","131.244766235352","64.5365219116211","167.869995117188","250.570007324219","44.8400001525879","152.790710449219","44.5262756347656","206.777404785156","87.7376174926758","222.04963684082","32.8474998474121","30.6220188140869","367.538970947266","44.5846862792969","97","337.561279296875","142.212066650391","234.531646728516","89.6274337768555","138.29248046875","121.551010131836","48.1078948974609","287.480529785156","68.6871948242188","176.601272583008","81.3287124633789","392.619995117188","427.485107421875","198.460113525391","205.81640625","175.178009033203","34.2794647216797","211.974273681641","47.4749526977539","207.842727661133","132.423187255859","156.787933349609","62.8053092956543","98.9716720581055","207.280548095703","350.2861328125","52.8902969360352","54.5821495056152","169.292587280273","212.018157958984","353.934997558594","249.868850708008","123.45182800293","78.244270324707","364.847137451172","96.8505172729492","52.5007820129395","286.42431640625","63.390941619873","91.5310134887695","84.2554626464844","272.377380371094","32.6768493652344","104.161392211914","81.1841278076172","206.110733032227","185.952758789062","637.734008789062","172.41081237793","66.4982528686523","54.3400001525879","50.8199996948242","205.297119140625","187.814849853516","311.614715576172","170.30110168457","82.0625076293945","132.519729614258","113.122001647949"
"5","22.2199993133545","186.596252441406","133.790985107422","131.264389038086","65.9649429321289","172.179992675781","248.380004882812","45.2099990844727","153.143310546875","45.3354911804199","203.920913696289","89.0766906738281","223.665496826172","33.3199996948242","30.8666076660156","367.986450195312","44.1081657409668","98.0500030517578","336.954711914062","143.781723022461","234.345291137695","90.2384262084961","139.279983520508","122.231414794922","48.1916656494141","277.051361083984","69.1320648193359","178.197280883789","81.4524917602539","396.049987792969","428.772613525391","200.5380859375","206.809158325195","176.557067871094","34.5372047424316","212.962463378906","48.8103103637695","208.188247680664","133.989883422852","158.263076782227","63.2863731384277","99.1060943603516","208.582855224609","354.255126953125","52.7838554382324","54.9422378540039","170.597839355469","214.516525268555","357.410430908203","250.727035522461","124.191261291504","78.5135269165039","366.287261962891","98.0857925415039","52.7974700927734","289.1748046875","64.0532531738281","91.7795944213867","84.5855560302734","272.501403808594","32.8117942810059","104.613304138184","81.0625991821289","206.613723754883","187.999664306641","631.384643554688","172.564193725586","66.9867553710938","53.8800010681152","51.7299995422363","207.928283691406","187.36833190918","307.847412109375","171.666976928711","81.5119476318359","133.06494140625","113.054267883301"
"6","21.3899993896484","185.90608215332","134.253494262695","130.85188293457","67.0124740600586","172.059997558594","239.960006713867","45.2400016784668","153.257675170898","46.1254425048828","203.883209228516","87.6632308959961","224.055526733398","33.4025001525879","30.6767311096191","369.2802734375","42.8076515197754","99.0999984741211","336.858520507812","143.473571777344","232.835235595703","89.3266525268555","139.099548339844","122.250862121582","48.079963684082","278.987213134766","69.4088516235352","177.314819335938","79.7813568115234","409.190002441406","429.566314697266","198.544723510742","204.965469360352","175.701095581055","33.5855484008789","213.059310913086","48.6707878112793","209.775833129883","131.111099243164","158.048187255859","63.7297325134277","98.0498428344727","207.148452758789","352.456115722656","51.5065994262695","55.0654296875","172.130783081055","212.591705322266","354.442413330078","248.520126342773","125.155952453613","78.5231475830078","370.955230712891","99.2931594848633","52.5957298278809","291.168243408203","64.0724411010742","90.6660232543945","83.8782424926758","270.211822509766","32.7443199157715","104.594085693359","79.5576400756836","204.052261352539","188.018005371094","615.51611328125","175.191040039062","66.9967346191406","52.4900016784668","51.1100006103516","205.917343139648","187.022018432617","312.844268798828","170.95947265625","80.7057800292969","133.131927490234","115.327934265137"
"7","21.0799999237061","186.842071533203","134.118576049805","130.606338500977","68.1742553710938","174.139999389648","235.759994506836","42.5699996948242","154.439468383789","46.9250259399414","202.780227661133","87.9142990112305","222.513946533203","33.3274993896484","30.4707584381104","372.130767822266","42.5594635009766","99.9700012207031","336.800567626953","143.704681396484","234.659088134766","89.0070571899414","139.090057373047","122.591064453125","48.1916656494141","282.688201904297","69.3693084716797","175.277557373047","81.0192260742188","410.420013427734","433.970794677734","195.413696289062","204.171310424805","176.110015869141","33.3773727416992","213.689041137695","48.3718299865723","209.315902709961","129.064636230469","157.930953979492","64.4937973022461","96.9167633056641","203.269866943359","346.289245605469","51.2066345214844","55.0938606262207","171.719100952148","213.476333618164","344.964111328125","247.180938720703","124.88663482666","78.9270172119141","371.402221679688","99.8782806396484","52.3168525695801","290.046936035156","64.1108551025391","90.1887817382812","83.3878021240234","270.5361328125","33.1780853271484","105.459449768066","78.9313507080078","204.210601806641","187.60498046875","604.196166992188","175.277297973633","67.3556518554688","52.1500015258789","50.7599983215332","205.466278076172","189.190841674805","309.863861083984","171.303405761719","79.9684066772461","133.399749755859","115.366622924805"
"8","21.2099990844727","187.787536621094","134.224563598633","131.117050170898","68.6218338012695","176.800003051758","239.559997558594","42.6599998474121","153.943862915039","46.8190574645996","205.165328979492","87.1052703857422","226.414260864258","32.9575004577637","30.9728107452393","371.624847412109","42.9466361999512","95.9199981689453","340.449188232422","145.023986816406","234.855209350586","90.4640274047852","140.694671630859","123.057640075684","48.4057693481445","283.105743408203","68.9442291259766","176.742080688477","83.3093109130859","415.149993896484","423.990570068359","198.159240722656","207.385864257812","177.698318481445","34.1704216003418","213.185272216797","48.6409034729004","209.841522216797","130.64111328125","159.191192626953","64.7390670776367","97.0800018310547","203.977645874023","350.861083984375","51.3711318969727","55.8235206604004","173.996643066406","213.388870239258","347.951202392578","250.312026977539","124.284301757812","78.62890625","360.993591308594","99.655387878418","52.9576835632324","294.321197509766","64.7827682495117","90.1091918945312","83.9065322875977","272.863891601562","32.9660224914551","106.18822479248","79.7445831298828","208.113342285156","188.155685424805","607.065979003906","176.533157348633","68.5619735717773","52.2900009155273","50.1199989318848","206.669097900391","189.518951416016","313.78857421875","171.686630249023","80.912239074707","134.021530151367","116.06324005127"
"9","21.5100002288818","188.912612915039","135.101425170898","131.549224853516","68.6599197387695","173.259994506836","239.729995727539","43.6800003051758","155.278137207031","46.963565826416","204.29801940918","87.6074447631836","224.85417175293","33.6049995422363","31.1659088134766","370.57421875","43.909610748291","96.1100006103516","341.974304199219","145.370635986328","236.482940673828","91.1032180786133","142.58415222168","123.718612670898","48.4616203308105","283.855438232422","69.7845153808594","177.667999267578","83.4331130981445","413.410003662109","430.611785888672","199.475570678711","208.58659362793","177.3369140625","34.3191184997559","213.010879516602","48.4415817260742","210.827117919922","131.512573242188","163.089172363281","65.097526550293","98.9332427978516","206.346313476562","352.595123291016","52.1161994934082","55.7382316589355","174.399566650391","212.319549560547","351.962768554688","253.9619140625","126.341026306152","78.9270172119141","371.044616699219","100.742012023926","52.6847267150879","294.244506835938","65.2723007202148","90.298225402832","84.2743301391602","272.176971435547","33.3612327575684","106.767364501953","80.5952301025391","208.104034423828","189.486602783203","618.029541015625","178.508087158203","68.8411407470703","53.0800018310547","50.5900001525879","210.070816040039","191.569305419922","316.090270996094","173.730514526367","80.4501495361328","135.035446166992","116.23738861084"
"10","21.4799995422363","190.491546630859","134.937622070312","132.531387329102","67.5933609008789","177.789993286133","236.679992675781","43.2599983215332","156.688583374023","46.7419929504395","205.287872314453","87.2075729370117","224.584854125977","33.810001373291","31.4555606842041","373.084167480469","43.830192565918","97.879997253418","340.246398925781","146.17951965332","237.63020324707","91.5920181274414","143.752029418945","124.418472290039","48.9642944335938","284.102203369141","69.9130401611328","178.130950927734","82.6903686523438","415.200012207031","432.421936035156","199.306335449219","209.248397827148","177.146713256836","34.140682220459","214.124984741211","48.4216651916504","211.75634765625","129.965484619141","161.496719360352","65.2578887939453","98.4819412231445","207.082382202148","353.77294921875","51.922679901123","55.652946472168","175.100387573242","214.059616088867","353.475463867188","255.499206542969","126.341026306152","79.4847259521484","381.24462890625","100.983489990234","52.3939895629883","295.432861328125","65.2819137573242","89.0744857788086","83.6235961914062","272.110260009766","33.409423828125","107.539581298828","81.0439147949219","208.560455322266","190.872604370117","620.336730957031","179.562637329102","68.831184387207","52.7700004577637","51.7099990844727","211.170288085938","192.763092041016","314.339416503906","174.418350219727","80.184700012207","135.800659179688","116.963027954102"
