"","CommunicationServicesAvg","IndustrialsAvg","UtilitiesAvg","EnergyAvg","FinancialsAvg","InformationTechAvg","ConsumerDiscretionaryAvg","RealEstateAvg","HealthcareAvg","MaterialsAvg","ConsumerStaplesAvg"
"1",138.808114918795,158.380031907713,61.0317917527824,48.0219692561937,144.830721734275,195.545488606966,322.203544940589,134.183587351153,231.083213488261,122.228281634195,98.3893974922799
"2",140.467727227645,159.113507085032,60.5525277565266,48.1236551533574,145.276864226435,196.386669408358,324.137490326503,133.625009106052,232.207729808868,122.538646187101,98.5989381944811
"3",140.231735749678,159.196062410033,59.8457854369591,48.2986018968665,145.230021248401,196.110467177171,323.932860824297,132.948984884447,231.481093179612,121.993874958583,98.1572209435541
"4",141.851060347124,160.047882080078,59.8259448018568,48.7977161407471,146.774400925972,198.341629879291,326.410807645546,131.816728345809,231.949590455918,122.638785873141,98.6055861808158
"5",142.612877498974,160.54131621819,60.4895931112355,49.1655473709106,148.208485213804,198.846909390963,330.011071924893,132.734221181562,233.050870274741,122.745180300304,99.3890905637999
"6",143.540876041759,160.193523208816,60.823640593167,47.3416367821072,146.979571396196,201.333506642855,328.96713649102,132.904676068214,234.338903109233,122.550327164786,99.6354944383775
"7",142.963001598011,159.799112394259,59.7716375548264,47.1275823841924,146.949497800478,202.848173831059,330.915573767896,132.748828672594,235.064849550762,122.185033117022,99.6078099431218
"8",142.786057645624,160.563126031454,59.7302140203015,47.8822218438853,146.723684875058,201.625888325618,332.241919355572,131.95026046999,234.317522578769,122.603255816868,99.9337086033177
"9",143.680515636097,161.582472838365,60.3746226409386,48.9587273805038,147.716378386592,201.129640843318,336.827558553444,132.376198983962,236.668782037402,123.38034585544,99.7765088467984
"10",144.398324359547,162.113454273769,60.4716162517153,48.7822599825652,148.259588980339,202.914169883728,339.226539557835,133.035832220508,238.650493621826,123.287293536322,100.051721212026
"11",143.920467116616,161.023373690518,60.7683227144439,46.9791755261629,147.436640040975,203.574542984596,339.063254878206,134.60463868418,239.040522393726,121.586386510304,99.7191428107185
"12",143.905089898543,162.767119964996,61.2560458018862,45.9891194882601,147.697454519675,203.697653051523,338.734945045327,135.455543271957,240.823011897859,123.175367832184,100.354329495817
"13",142.785527402704,160.668744173917,61.0780940220274,45.7824824789296,145.360813463238,201.899927109938,334.06119278242,135.43356046369,239.760059341552,121.695695877075,99.8677487759977
"14",143.732479268854,163.18193339063,61.2850511156279,46.7435216074404,148.284704933704,204.482257754986,337.977568086588,136.911582608377,240.944737146771,124.031270572117,100.527376741976
"15",143.874588619579,163.386373321731,61.4524128354829,46.6607053590858,149.140844425685,204.668156066308,337.11904326025,138.121895267117,241.257283982776,124.616938522884,100.278260617643
"16",143.406750939109,161.985813933533,60.9724967233066,46.3321314272673,148.130487777817,204.298098168006,332.072551853252,136.501760267442,240.743210641165,123.415988888059,99.8546154950116
"17",143.00511897694,161.77443259103,61.4428546839747,44.6329954396124,147.667226563037,204.239101600647,333.173748934044,137.81380767207,239.655332852924,123.439185040338,100.495872755308
"18",142.44064764543,161.774030412946,62.1700129015692,43.7448609393576,148.140109518884,202.339510976351,331.136551856995,138.130861559222,239.040922149779,123.683622871126,100.895414300867
"19",141.530264767733,160.970492499215,62.7985084796774,42.4199258140896,147.470788579592,200.316309459393,328.327171685561,138.297276466123,240.42361949739,121.931265592575,100.900901124284
"20",139.816331429915,157.912453985834,61.6974249214962,40.7271756711214,143.589585452013,199.274434104333,324.003700742182,136.491459908024,238.266738346645,119.2303847926,100.690481134363
"21",140.775181857022,162.161245742402,61.94549215251,41.4329080167024,146.598008572216,202.913982978234,331.215580382437,138.786864988266,241.398192405701,120.870229210172,101.041665670034
"22",141.158201737837,163.59516961234,61.21537553853,43.0133918679279,148.210072571123,206.010977275555,337.028465936769,138.102291937797,241.333079126146,122.01228250776,100.5466657587
"23",141.29131230441,162.847135271345,61.3093968753157,42.5305513713671,147.648700700679,206.85899074261,341.533953828632,137.442291505875,243.782644181024,121.842989546912,100.447053187602
"24",143.572526151484,164.147347388329,62.1397324923811,42.2853981515636,148.764252528338,208.981254342886,346.808238353369,138.903412357453,246.91370514461,122.929097175598,101.712257024404
"25",144.478372573852,163.736511651572,62.1312227906852,43.3254784708438,148.808558168546,208.316965866089,345.751676829356,138.705817284123,245.207172408937,123.677610942296,101.825835923891
"26",143.380868478255,163.133820025952,63.3028647324134,42.7443724507871,148.908063136356,206.256458928035,347.001617953463,139.89235379619,246.288678290352,123.797380311149,101.612219372311
"27",143.88885047219,162.769283839634,62.8103599877193,43.4018928279047,148.45276835267,208.00061079172,344.671883079241,139.145310955663,247.143882554675,124.787158625466,101.134913831144
"28",142.524825963107,164.010242140138,62.9040299448474,43.5954779749331,149.771112724089,209.295132945134,350.080179052533,138.020120651491,249.452012758406,125.930827549526,101.770551475319
"29",143.507971070029,163.797843016587,62.3307426058013,42.8962444637133,149.348364735993,210.675792650076,348.273565994119,139.222295299653,250.210507180956,126.252359015601,101.621624869269
"30",143.640175992792,162.588239521175,62.7867903216132,42.3396411149398,149.007475584326,210.770226566608,348.988486847787,139.259187821419,250.459166859824,125.262305566243,101.141070288581
"31",143.022071664984,164.371753568773,63.1626504043053,43.5678442250127,149.804205558669,212.620569126423,352.011143162565,139.4943915644,253.271398710826,126.415486642293,101.262520970525
