"","APA","BKR","COP","CTRA","CVX","DVN","EOG","EQT","FANG","HAL","HES","KMI","MPC","MRO","OKE","OXY","PSX","PXD","SLB","TRGP","VLO","WMB","XOM"
"464","16.708324432373","18.2925510406494","44.0264282226562","13.4785089492798","89.3709487915039","17.2934265136719","57.4030685424805","17.0786991119385","64.7425308227539","18.4160346984863","64.5604400634766","13.5368614196777","47.9597778320312","9.88032150268555","42.4957084655762","23.5085792541504","66.33056640625","117.97282409668","23.9651699066162","30.9353866577148","61.0511703491211","19.7130489349365","48.797004699707"
"465","17.249137878418","18.4679069519043","44.2578659057617","13.2726669311523","89.9021453857422","17.6557636260986","57.9993515014648","17.0690650939941","65.4735412597656","18.2627277374268","64.8205413818359","13.8843832015991","48.8257446289062","10.2055215835571","42.9155349731445","24.0450859069824","67.6934661865234","118.109924316406","24.401762008667","32.0398788452148","62.5667457580566","20.0268993377686","49.0618705749512"
"466","17.6950740814209","18.5878887176514","44.7296371459961","13.5361442565918","89.8755569458008","18.0098667144775","58.6460227966309","17.6470222473145","66.6173629760742","18.6172523498535","65.6489791870117","13.9919500350952","49.0744781494141","10.3107328414917","42.796802520752","24.288948059082","67.7023086547852","120.150329589844","25.0281772613525","32.2758865356445","62.8698577880859","20.3322601318359","49.1589851379395"
"467","18.0556182861328","18.3848457336426","45.6642913818359","13.8243217468262","90.9202270507812","18.2322120666504","60.1997337341309","17.9552688598633","68.2170104980469","18.5118503570557","67.8645629882812","14.0664196014404","49.6456527709961","10.5594139099121","43.1530075073242","24.4742870330811","69.1183319091797","121.835891723633","24.8478469848633","32.0115623474121","64.0288238525391","20.3068141937256","49.8034896850586"
"468","19.4408588409424","18.6894092559814","47.2131309509277","13.972526550293","93.1511993408203","19.7886219024658","62.9712104797363","18.8222103118896","71.9667053222656","19.2975540161133","73.1530914306641","14.430495262146","51.0735740661621","11.238507270813","44.2131843566895","25.4594993591309","70.8883209228516","126.795776367188","25.9678020477295","32.5968475341797","66.0793228149414","20.7224521636963","51.3043975830078"
"469","19.6211318969727","18.9570617675781","47.2932586669922","14.0466299057007","94.6384887695312","19.8215618133545","63.7690505981445","18.6199226379395","72.5343170166016","19.5083503723145","73.9237442016602","14.5313482284546","51.6263160705566","11.2193775177002","44.6118011474609","25.3034286499023","71.7910003662109","128.691024780273","26.4043960571289","32.947151184082","66.7390518188477","20.8496875762939","52.0371856689453"
"470","18.9759483337402","18.5325126647949","45.5218696594238","13.7255172729492","91.2477798461914","19.2533493041992","61.845817565918","18.3983726501465","70.2896728515625","18.7418117523193","71.7755813598633","14.3296384811401","51.267032623291","10.7698392868042","44.3912887573242","24.7376594543457","71.6051559448242","124.061782836914","25.6735763549805","32.8430099487305","65.9366760253906","20.6630802154541","50.5362930297852"
"471","19.4123954772949","20.0184383392334","46.9460945129395","14.0630989074707","93.4256210327148","19.4509887695312","63.8026351928711","19.0244941711426","72.1731185913086","19.7957973480225","74.1260452270508","14.5061311721802","52.6581039428711","10.6454982757568","44.7135772705078","25.4985160827637","74.2867050170898","127.957130432129","26.7840423583984","33.6477508544922","69.6721496582031","21.0108547210693","51.9312477111816"
"472","19.1467342376709","19.9076843261719","46.7947692871094","14.1536645889282","93.9391021728516","19.3109931945801","62.9963989257812","19.1786193847656","68.1138000488281","20.0832481384277","74.3283157348633","14.4304933547974","52.7870674133301","10.8272256851196","44.5948448181152","25.2253894805908","73.4813613891602","127.787780761719","26.9453907012939","33.590950012207","69.681037902832","20.8496875762939","52.2579116821289"
"473","19.8962841033936","20.8583068847656","49.3494720458984","14.3842096328735","96.4621963500977","20.7768135070801","64.4241104125977","19.4386978149414","71.4850997924805","21.0797500610352","77.9792327880859","14.7162446975708","54.6940383911133","11.1906843185425","45.0782814025879","26.3861865997314","75.215950012207","132.537963867188","28.7961673736572","34.4903678894043","71.3749465942383","21.1380882263184","53.8294486999512"
"474","20.3327293395996","21.292085647583","49.5809135437012","14.0878000259399","96.5153198242188","20.8097553253174","64.6508941650391","17.7337207794189","70.7368774414062","21.2426376342773","78.306755065918","14.8339061737061","54.7769584655762","10.9993896484375","45.2987899780273","25.9960079193115","75.7646408081055","133.021865844727","29.1663208007812","35.1814994812012","71.7315521240234","21.1805000305176","54.3415107727051"
"475","20.4845390319824","22.7318592071533","50.8271102905273","14.3183393478394","97.4006118774414","21.5920791625977","69.7907028198242","19.929967880249","72.4225158691406","21.9900093078613","79.5012512207031","14.9935903549194","55.2744331359863","11.3724136352539","45.2733459472656","26.7178421020508","76.1451950073242","135.352630615234","30.2672958374023","36.194522857666","71.7582778930664","21.4604206085205","55.1184577941895"
"476","20.7691745758057","22.7318592071533","50.738094329834","14.5735855102539","97.0022354125977","21.4191436767578","71.0084762573242","20.1804161071777","71.1754913330078","21.7887935638428","79.5301361083984","15.3381757736206","55.0993843078613","11.142861366272","45.7652626037598","25.9764957427979","75.746955871582","135.151016235352","30.0205268859863","35.7211532592773","71.0004959106445","21.6640014648438","55.2508964538574"
"477","19.9627017974854","22.8979892730713","49.5987167358398","14.3348093032837","94.46142578125","21.196798324585","68.9844665527344","20.1611499786377","68.6298294067383","21.6642322540283","78.1718978881836","15.1028499603271","54.0215339660645","10.9898252487183","45.1800498962402","23.9280281066895","74.0123672485352","127.182922363281","29.6693496704102","35.5507354736328","69.2620468139648","21.7573013305664","53.493953704834"
"478","20.0480899810791","22.1227283477783","49.5720062255859","14.5005283355713","95.0545654296875","21.0650386810303","68.3293762207031","20.1033535003662","68.698974609375","21.6833953857422","78.1622467041016","15.2121086120605","54.325553894043","11.0376501083374","44.577880859375","24.5035495758057","75.5257034301758","125.94898223877","30.4666061401367","35.7400856018066","71.2947006225586","21.4434585571289","53.7805862426758"
"479","19.3554706573486","22.4734382629395","48.6569976806641","14.2436599731445","94.443717956543","20.381534576416","66.8344650268555","19.4001693725586","65.8638916015625","21.4342708587646","76.5439147949219","15.1448736190796","54.1505088806152","10.5881090164185","44.7644691467285","23.1281471252441","74.6495513916016","122.481109619141","30.143913269043","35.4844665527344","69.9841690063477","21.5282802581787","53.117733001709"
