"","AAL","ADP","ALLE","AME","AOS","AXON","BA","BLDR","BR","CAT","CHRW","CMI","CPRT","CSX","CTAS","DAL","DAY","DE","DOV","EFX","EMR","ETN","EXPD","FAST","FDX","FTV","GD","GE","GNRC","GWW","HII","HON","HUBB","HWM","IEX","IR","ITW","J","JBHT","JCI","LDOS","LHX","LMT","LUV","MAS","MMM","NDSN","NOC","NSC","ODFL","PAYC","PAYX","PCAR","PH","PNR","PWR","RHI","ROK","ROL","RSG","RTX","SNA","SWK","TDG","TT","TXT","UAL","UBER","UNP","UPS","URI","VRSK","WAB","WM","XYL"
"1","31.8162212371826","153.421936035156","101.974174499512","85.8068542480469","41.9524688720703","73.2099990844727","368.203002929688","15.710000038147","120.190269470215","119.235870361328","74.4928588867188","150.858062744141","18.6875","24.78635597229","220.842239379883","54.426399230957","52.7700004577637","151.611953735352","91.1639251708984","129.830612182617","58.1724395751953","74.6220932006836","72.4325866699219","29.2156276702881","154.861221313477","66.325927734375","158.304992675781","65.1706924438477","67.7900009155273","258.567535400391","202.449676513672","159.870010375977","114.386245727539","23.8894424438477","157.272064208984","34.7691268920898","135.185394287109","78.9257354736328","87.2099227905273","35.437084197998","74.3084487915039","181.686447143555","319.528900146484","49.3237457275391","35.7581939697266","142.092178344727","129.703567504883","299.935272216797","178.45280456543","46.8526916503906","228.581909179688","76.4754028320312","40.0330619812012","159.302612304688","34.4780540466309","38.696102142334","51.7264556884766","149.493637084961","23.884033203125","80.88427734375","72.670783996582","148.290130615234","129.729614257812","416.000213623047","90.6455612182617","52.119255065918","87.1399993896484","43.8600006103516","150.839645385742","88.7350463867188","128.609939575195","141.62174987793","70.1333160400391","107.028564453125","78.6478576660156"
"2","31.2422428131104","152.1103515625","101.578559875488","85.0125122070312","42.0898132324219","73.3000030517578","365.217132568359","15.25","118.505508422852","119.467864990234","73.6326446533203","149.416305541992","18.4850006103516","24.6672115325928","220.604888916016","54.4458503723145","51.5800018310547","153.027786254883","90.3922271728516","128.955337524414","58.278995513916","75.1458053588867","71.5405807495117","28.6531143188477","152.554672241211","65.997673034668","157.833572387695","64.2510757446289","68.6100006103516","255.970642089844","200.774307250977","158.074478149414","113.716590881348","24.0675048828125","158.616409301758","33.9818496704102","134.963287353516","79.3208694458008","85.3288726806641","36.0211143493652","73.6181488037109","179.700149536133","316.499084472656","49.0652465820312","35.240234375","141.610244750977","129.617614746094","298.397766113281","179.25276184082","46.9782066345215","226.694869995117","75.5670547485352","39.5397872924805","158.339859008789","33.9494705200195","38.1047286987305","50.7247734069824","149.191055297852","23.6387176513672","80.337646484375","71.9554061889648","142.843643188477","127.150268554688","416.628356933594","89.9626922607422","51.5630035400391","86.7200012207031","44","152.136932373047","87.6794967651367","127.744331359863","140.709976196289","70.5892868041992","106.825660705566","77.1938552856445"
"3","31.4896488189697","151.748519897461","101.625648498535","85.0997314453125","41.9982414245605","73.2099990844727","367.328826904297","15.3699998855591","118.247711181641","119.896148681641","73.4907608032227","149.59211730957","18.4424991607666","24.3066272735596","221.297912597656","54.5236434936523","50.6100006103516","155.449768066406","91.0709533691406","128.080032348633","58.0836524963379","74.2879867553711","70.4967575073242","28.6619052886963","148.449020385742","66.1946411132812","158.18049621582","63.0248947143555","68.9199981689453","253.177597045898","200.549087524414","158.34651184082","113.571807861328","24.0378246307373","157.035354614258","33.653003692627","135.069915771484","79.0028305053711","83.8125","36.3355865478516","73.6554565429688","179.763885498047","317.045257568359","49.0365219116211","35.9339332580566","141.634735107422","129.082794189453","297.767913818359","175.671188354492","45.8678779602051","224.211898803711","75.2701034545898","39.5730438232422","157.191909790039","33.9031066894531","37.6513290405273","50.2464981079102","148.686752319336","23.0537204742432","80.8472290039062","72.7546157836914","143.523376464844","126.866622924805","411.218048095703","90.2717971801758","51.4636840820312","86.5500030517578","43.0900001525879","150.677474975586","85.5769653320312","127.488594055176","141.039779663086","66.0877227783203","107.867752075195","77.5148620605469"
"4","30.9354610443115","149.72233581543","101.324234008789","84.8188018798828","42.1996726989746","68.8300018310547","362.742004394531","15.4200000762939","117.897880554199","119.307258605957","73.3754806518555","148.440444946289","18.3449993133545","23.8582439422607","219.72200012207","54.3777770996094","48.2200012207031","154.918792724609","91.6845855712891","125.983222961426","57.9770774841309","74.1164398193359","70.0602340698242","28.2488059997559","143.909759521484","66.1700057983398","158.020370483398","62.6570587158203","68.870002746582","249.936080932617","201.29670715332","157.738906860352","114.295776367188","24.1268520355225","158.502838134766","33.7327270507812","133.977294921875","79.3304977416992","84.2731475830078","36.4613914489746","73.8140411376953","178.287826538086","317.556060791016","48.8259048461914","35.5177192687988","140.531921386719","128.490646362305","297.462280273438","174.771194458008","45.7198333740234","216.862319946289","74.0648040771484","39.5176277160645","156.053253173828","33.8289070129395","37.4541969299316","50.0569915771484","147.760757446289","23.0474319458008","80.4673538208008","72.106330871582","144.750396728516","125.599113464355","405.690460205078","89.7542495727539","51.2650108337402","85.0599975585938","43.0900001525879","149.875701904297","83.3543014526367","126.514801025391","139.992202758789","66.4369812011719","107.360549926758","77.0050201416016"
"5","31.1333847045898","147.280014038086","101.343078613281","85.0803375244141","42.2820739746094","66.870002746582","368.261901855469","15.3699998855591","117.225776672363","120.592132568359","73.8898239135742","148.493225097656","18.3474998474121","23.8864650726318","220.975112915039","54.8250923156738","47.8800010681152","154.741806030273","91.4428634643555","126.098617553711","58.4743576049805","74.6130599975586","69.4434127807617","28.0818138122559","147.544860839844","65.5381011962891","159.141174316406","62.9635925292969","68.4899978637695","248.852523803711","201.134628295898","157.421493530273","115.354568481445","24.6214599609375","159.298080444336","33.5832405090332","133.311004638672","79.8026733398438","84.7914047241211","36.4973220825195","73.235710144043","174.233108520508","316.622528076172","48.5386924743652","35.9709396362305","140.409378051758","129.837295532227","295.192962646484","175.252990722656","46.1864891052246","215.342742919922","71.4183807373047","39.3014602661133","157.599227905273","33.5599937438965","37.1880798339844","50.4089393615723","148.870101928711","22.2737331390381","79.2072906494141","71.4021224975586","144.353134155273","126.795745849609","400.749145507812","89.4955062866211","51.0464897155762","85.3300018310547","42.5","149.398193359375","85.7915267944336","128.432876586914","138.362747192383","66.5727996826172","105.672950744629","76.7784271240234"
"6","31.8162212371826","148.356414794922","102.454566955566","85.4968795776367","42.1905174255371","66.8899993896484","357.536407470703","16.25","118.48706817627","120.90446472168","74.6436309814453","147.912963867188","18.3400001525879","23.9711246490479","223.737670898438","55.2529602050781","49.6300010681152","154.23649597168","91.6195297241211","127.377906799316","58.6963539123535","74.6943435668945","70.9237670898438","28.3103351593018","150.672515869141","65.973030090332","158.091522216797","63.7606010437012","69.7699966430664","248.600311279297","201.711044311523","157.648193359375","116.232360839844","25.1160659790039","160.557220458984","33.7825546264648","133.319976806641","80.9591293334961","86.0774536132812","36.4164619445801","74.0565795898438","172.629470825195","316.261352539062","48.5769958496094","36.0726776123047","140.09895324707","132.4541015625","294.803924560547","175.807540893555","47.393367767334","223.029998779297","71.7066192626953","39.1795196533203","155.942153930664","33.8381996154785","37.4443473815918","50.9684219360352","148.650085449219","23.0411396026611","80.2172012329102","72.0783462524414","144.308959960938","126.910942077637","398.722351074219","89.3804779052734","51.5232772827148","86.4300003051758","45.1300010681152","149.560317993164","87.2761611938477","129.809967041016","140.273483276367","67.0093688964844","106.825660705566","77.2882690429688"
"7","32.2714462280273","149.550430297852","104.131210327148","87.9961166381836","43.1793556213379","64.2099990844727","357.526580810547","16.8600006103516","117.548004150391","121.609344482422","74.8032608032227","150.629501342773","18.6849994659424","24.259593963623","225.266082763672","55.1848907470703","50.2000007629395","155.069351196289","93.1629257202148","130.080657958984","59.2469062805176","75.2000045776367","71.9865875244141","28.6443290710449","151.484420776367","66.9003829956055","161.738677978516","64.4356384277344","69.4100036621094","250.562042236328","202.431671142578","158.328353881836","118.006065368652","25.5414257049561","162.971405029297","34.4801216125488","134.867080688477","81.3253021240234","87.728157043457","37.1172943115234","74.4856796264648","172.328796386719","320.180633544922","48.6152839660645","36.2946739196777","141.602035522461","134.956237792969","299.277679443359","181.198089599609","48.0370445251465","225.17529296875","71.87255859375","39.7171516418457","157.386322021484","34.4965972900391","37.6811447143555","51.446704864502","150.208755493164","22.5630836486816","80.6219711303711","72.7657852172852","146.215698242188","128.178466796875","405.187927246094","91.0480575561523","52.6854553222656","87.5500030517578","46.3800010681152","152.353164672852","88.6234664916992","130.459167480469","142.058242797852","69.6191329956055","106.392265319824","78.9688491821289"
"8","32.5386428833008","150.50927734375","105.044914245605","89.2263336181641","42.9687652587891","64.5500030517578","350.111083984375","16.9599990844727","119.10391998291","121.885971069336","74.7677688598633","151.965744018555","18.7425003051758","24.6546745300293","226.766082763672","56.1962051391602","51.3199996948242","154.535949707031","95.1526412963867","130.648147583008","59.2380256652832","75.1097106933594","72.1099472045898","28.7058448791504","150.358856201172","67.8441543579102","162.379180908203","65.2334136962891","70.5","249.683959960938","202.161437988281","160.341552734375","118.666679382324","25.798620223999","164.135925292969","34.7093315124512","135.528869628906","81.7204360961914","87.5650024414062","37.6384315490723","74.7841720581055","162.324203491211","318.357574462891","49.342887878418","36.5998992919922","142.557846069336","135.252319335938","295.044708251953","182.643463134766","48.2655487060547","225.453384399414","72.938117980957","40.0386047363281","157.358535766602","34.6820602416992","38.5592994689941","51.4647598266602","150.91471862793","22.7958221435547","80.6033706665039","73.4028930664062","145.959747314453","130.509643554688","405.757476806641","91.7812194824219","52.7748527526855","88.4499969482422","44.2700004577637","154.506362915039","88.3660430908203","132.101821899414","143.19303894043","71.1713943481445","106.318458557129","79.6958694458008"
"9","31.855806350708","146.502105712891","103.858055114746","88.3642120361328","43.0237007141113","63.7999992370605","347.85205078125","16.9799995422363","120.687408447266","121.216743469238","74.1647338867188","149.627258300781","18.7000007629395","24.5449275970459","225.940093994141","56.9255180358887","51.9500007629395","154.526580810547","95.01318359375","130.91748046875","58.8739624023438","73.8094100952148","70.6580810546875","28.2312259674072","147.424926757812","67.2614974975586","163.295425415039","65.1720581054688","70.8199996948242","247.684829711914","206.529998779297","160.169250488281","117.435966491699","25.8678665161133","163.264907836914","34.3705062866211","133.910202026367","81.3156890869141","86.6340789794922","37.4137916564941","74.756217956543","169.267303466797","323.72998046875","49.2375755310059","36.7108879089355","142.15754699707","133.695617675781","299.814880371094","182.207153320312","47.8149757385254","231.333068847656","73.0429153442383","39.5453262329102","155.108947753906","34.9046287536621","38.3323554992676","52.4483909606934","149.319396972656","23.0725975036621","81.0500259399414","73.7494125366211","143.849975585938","129.951187133789","409.140991210938","90.3939743041992","52.5165939331055","88.870002746582","44","154.263122558594","87.5336151123047","129.64274597168","144.12419128418","71.2684020996094","106.871772766113","78.5251007080078"
"10","32.3803062438965","148.428802490234","104.093528747559","89.0326309204102","42.8405838012695","64.3199996948242","348.156494140625","16.9599990844727","121.387130737305","120.984764099121","75.4151458740234","149.662475585938","18.7425003051758","24.6703510284424","227.392593383789","57.5186996459961","51.8600006103516","154.676315307617","96.1288986206055","133.322128295898","58.7762794494629","74.333137512207","71.6164932250977","28.3542823791504","148.928817749023","67.7702865600586","163.384857177734","65.1106796264648","71.0800018310547","251.075775146484","209.628524780273","161.783477783203","118.20516204834","25.5908870697021","163.85188293457","34.4801216125488","134.232147216797","81.7107925415039","87.728157043457","37.5845222473145","75.9315567016602","167.927886962891","326.204772949219","49.6779670715332","36.803394317627","142.941787719727","134.507431030273","301.259857177734","184.088836669922","48.1239242553711","234.133850097656","73.8901290893555","39.4621925354004","156.090240478516","35.479564666748","38.3718185424805","52.3400917053223","150.419631958008","23.3116207122803","81.5990447998047","74.3306427001953","143.71760559082","130.314590454102","416.075592041016","90.2430419921875","52.5364570617676","90.6699981689453","44.2299995422363","154.776611328125","88.5634231567383","130.744400024414","146.141708374023","71.336311340332","108.089073181152","78.6761779785156"
