"","ADM","BF.B","BG","CAG","CHD","CL","CLX","COST","CPB","DG","DLTR","EL","GIS","HRL","HSY","K","KDP","KHC","KMB","KO","KR","LW","MDLZ","MKC","MNST","MO","PEP","PG","PM","SJM","STZ","SYY","TAP","TGT","TSN","WBA","WMT"
"435","54.7357063293457","68.2095947265625","75.7257385253906","32.5039138793945","78.6561508178711","70.0117492675781","170.505493164062","314.567108154297","43.1233558654785","183.479949951172","108.569999694824","281.617980957031","52.9722213745117","44.3231010437012","143.103256225586","49.8905982971191","30.9220657348633","33.8323707580566","118.982086181641","46.0738525390625","32.7639312744141","77.4804229736328","52.2550010681152","81.2250366210938","44.6749992370605","37.677848815918","122.590393066406","117.773544311523","72.9352493286133","109.968376159668","219.345367431641","75.1550445556641","42.5076599121094","167.157104492188","67.892707824707","44.1682281494141","41.8989944458008"
"436","54.4180679321289","68.4571228027344","75.0936050415039","33.0204238891602","80.0073013305664","70.2349853515625","172.504470825195","316.950378417969","43.5960464477539","185.695220947266","108.610000610352","279.271514892578","53.5372123718262","44.9635810852051","143.611999511719","51.0524139404297","30.9870624542236","33.5157737731934","119.807899475098","45.9825477600098","33.2515411376953","77.6535949707031","52.8121948242188","82.1620330810547","44.4700012207031","38.3478584289551","122.424728393555","118.914978027344","73.8529510498047","111.056625366211","220.093780517578","77.3531951904297","43.108570098877","167.800247192383","69.2968139648438","45.6170654296875","42.5300407409668"
"437","54.464786529541","68.9140777587891","73.6620101928711","33.2430572509766","80.0073013305664","70.3931121826172","172.020690917969","316.347290039062","43.2687950134277","187.765350341797","109.300003051758","279.599853515625","53.7832565307617","44.9543075561523","144.441040039062","50.5304412841797","31.1820640563965","33.885139465332","120.508079528809","46.5942993164062","33.6360130310059","79.6064758300781","53.1465034484863","82.6636428833008","44.6549987792969","39.2858581542969","122.415534973145","119.304740905762","73.8192596435547","111.678504943848","220.544738769531","77.2048034667969","44.0423011779785","168.816345214844","70.2787704467773","47.194507598877","42.3112297058105"
"438","53.9789924621582","69.1520614624023","73.4203033447266","33.2341461181641","80.4898452758789","70.5605316162109","172.540954589844","313.22705078125","44.4505043029785","187.233322143555","109.040000915527","278.991516113281","54.1113090515137","44.7686576843262","144.601196289062","50.8166885375977","31.6556529998779","34.0698318481445","120.669616699219","46.7677917480469","33.5891265869141","77.2495422363281","53.6572570800781","82.5595397949219","44.6949996948242","38.9705657958984","123.317352294922","119.657402038574","74.2570648193359","112.766746520996","221.283538818359","74.6171035766602","44.7541427612305","167.986709594727","69.9850921630859","46.9030227661133","42.2985382080078"
"439","53.9042549133301","68.304801940918","73.4946823120117","32.9937057495117","79.2931213378906","70.5047149658203","173.052124023438","315.083892822266","44.505054473877","181.390426635742","107.699996948242","280.748870849609","54.1204261779785","44.5180282592773","145.609222412109","50.8335189819336","31.6649341583252","34.3688430786133","118.982086181641","46.7860527038574","33.0827522277832","77.6920776367188","53.7872657775879","82.0106048583984","44.2999992370605","39.2385711669922","122.958473205566","119.174812316895","75.0989608764648","113.50749206543","223.567077636719","74.9046249389648","44.9852676391602","166.299468994141","70.09521484375","46.3800659179688","41.9465599060059"
"440","53.8201751708984","67.3052139282227","73.0019912719727","33.0560455322266","79.3896408081055","70.7558670043945","168.378692626953","309.140075683594","45.0140914916992","172.964660644531","105.25","277.127807617188","54.5851783752441","44.824348449707","147.031768798828","51.0439949035645","31.4699287414551","34.2457122802734","118.847412109375","46.1742897033691","32.5294952392578","76.8839645385742","53.7779846191406","81.6982574462891","43.9599990844727","39.8612747192383","121.955459594727","119.43465423584","76.2439727783203","113.342872619629","221.705703735352","73.1052780151367","45.4382591247559","167.42741394043","70.5999603271484","45.1798439025879","41.398868560791"
"441","53.0914878845215","65.429817199707","72.6766357421875","33.7061233520508","80.1906585693359","69.7420043945312","169.893936157227","314.815887451172","45.2595176696777","181.651626586914","108.120002746582","275.418609619141","54.7400856018066","44.5273132324219","145.741088867188","51.1955375671387","31.702075958252","34.4216003417969","116.980339050293","46.3934288024902","33.1952857971191","77.1918106079102","53.9544296264648","81.906494140625","43.9599990844727","39.8455085754395","123.768218994141","118.794334411621","76.1501388549805","115.583389282227","225.188568115234","73.9214630126953","45.484489440918","174.828826904297","70.4347686767578","45.0426750183105","41.9497451782227"
"442","52.7178039550781","65.8582153320312","72.193229675293","34.0801429748535","81.5611267089844","70.4768295288086","172.915176391602","320.156799316406","46.377613067627","187.629943847656","110.25","276.345611572266","55.9976387023926","45.0656890869141","147.323837280273","52.5257339477539","32.1106605529785","34.7821807861328","119.412940979004","46.5669059753418","33.9360771179199","76.2394256591797","54.6416244506836","83.146354675293","44.5250015258789","40.7046966552734","126.804954528809","120.808097839355","76.7729873657227","116.36986541748","221.369857788086","72.9012298583984","46.0853958129883","175.285598754883","69.2601089477539","45.5313415527344","42.1503601074219"
"443","51.9050331115723","66.5055541992188","70.2596664428711","33.8396987915039","82.7192459106445","72.3184967041016","175.945571899414","325.756103515625","46.0230941772461","190.657775878906","109.860000610352","271.613983154297","55.7607078552246","45.1956329345703","147.832534790039","52.6941032409668","32.1385231018066","34.2281265258789","121.432632446289","46.9230117797852","34.3580589294434","75.0369033813477","54.4187469482422","82.8718795776367","44.810001373291","39.8139801025391","128.332489013672","123.053901672363","75.1262512207031","115.647422790527","219.796340942383","72.1406784057617","45.1054458618164","176.105926513672","67.3696060180664","44.6054458618164","42.6502952575684"
"444","52.2413520812988","65.7534790039062","70.2131805419922","32.8601303100586","81.6190338134766","72.3371047973633","172.714401245117","323.5546875","44.3323364257812","190.648132324219","110.5","275.186859130859","53.4187393188477","44.6108551025391","148.152862548828","51.7848625183105","31.9156494140625","33.6213073730469","121.791687011719","47.0417060852051","33.4859809875488","75.0272903442383","53.9172897338867","82.8434753417969","44.3600006103516","39.7017059326172","127.734359741211","123.016777038574","75.5528717041016","112.611282348633","220.372024536133","72.0200958251953","44.7079200744629","175.509307861328","67.5164489746094","44.3911209106445","42.3859977722168"
