"","AMZN","APTV","AZO","BBWI","BBY","BKNG","BWA","CCL","CMG","CZR","DECK","DHI","DPZ","DRI","EBAY","ETSY","EXPE","F","GM","GPC","GRMN","HAS","HD","HLT","KMX","LEN","LKQ","LOW","LULU","LVS","MAR","MCD","MGM","MHK","NCLH","NKE","NVR","ORLY","PHM","POOL","RCL","RL","ROST","SBUX","TJX","TPR","TSCO","TSLA","ULTA","VFC","WYNN","YUM"
"1","95.9095001220703","77.8787231445312","1128.19995117188","17.5117034912109","57.6626014709473","1856.55908203125","34.4189949035645","47.1658477783203","738.799987792969","52.7200012207031","174.050003051758","43.458065032959","267.836639404297","104.589225769043","36.8549270629883","68.8300018310547","128.32649230957","8.12580394744873","35.125732421875","90.8692855834961","72.6209869384766","90.7289733886719","188.354736328125","95.6380081176758","83","49.8160285949707","25.3255481719971","93.0610275268555","186.5","56.221794128418","133.135513305664","183.909240722656","27.5373783111572","148.449996948242","52.560001373291","81.1429672241211","3411.98999023438","375.869995117188","30.9910907745361","181.804321289062","116.047508239746","103.436126708984","99.9593124389648","76.9508972167969","50.5231513977051","27.1381950378418","99.2981109619141","14.6413326263428","358.339996337891","75.0475845336914","118.062202453613","101.477813720703"
"2","95.5650024414062","77.8291015625","1118.46997070312","18.0022068023682","56.9459190368652","1875.20129394531","34.2477912902832","45.0685157775879","726.849975585938","51.2200012207031","175.5","42.4783897399902","266.420532226562","106.84546661377","36.9749488830566","65.7799987792969","129.197830200195","8.08533668518066","35.0877151489258","91.03564453125","72.1501083374023","90.1992111206055","186.696334838867","94.9172821044922","85.6399993896484","48.5122909545898","25.2970600128174","92.5105743408203","181.869995117188","56.0325889587402","133.019058227539","183.138214111328","27.232608795166","146.029998779297","51.1100006103516","81.6284484863281","3313.23999023438","376.269989013672","30.205192565918","178.48210144043","112.235939025879","106.019561767578","99.3761978149414","76.160400390625","49.6784362792969","27.5336647033691","99.2888107299805","14.7906665802002","355.809997558594","74.8443222045898","117.146240234375","101.156723022461"
"3","95.6949996948242","77.7199249267578","1110.94995117188","17.9143562316895","56.886905670166","1866.03479003906","33.9950714111328","44.4596099853516","724.130004882812","45.7700004577637","173.399993896484","42.1169548034668","260.756286621094","107.515296936035","36.6610488891602","63.9300003051758","128.950286865234","8.0529613494873","35.125732421875","91.0093688964844","72.2478485107422","89.4592742919922","183.227920532227","94.295295715332","82.6399993896484","48.5689659118652","24.8982334136963","90.8409194946289","182.639999389648","55.578498840332","132.718231201172","182.833389282227","27.4488925933838","145.929992675781","50.8300018310547","80.4385223388672","3334.22998046875","375.489990234375","30.4419116973877","176.96418762207","114.444686889648","105.263442993164","98.3151626586914","76.0059432983398","49.537654876709","27.5951824188232","99.3817977905273","14.9093332290649","346.540008544922","74.4039077758789","117.647605895996","101.514495849609"
"4","93.9134979248047","77.5214309692383","1097.82995605469","17.5409870147705","55.9763031005859","1840.75939941406","33.8238830566406","43.9280281066895","733.219970703125","43.810001373291","171.929992675781","40.4904823303223","263.388793945312","108.528831481934","36.0240364074707","61.7900009155273","128.474990844727","7.96393632888794","35.810001373291","90.5015716552734","71.2439041137695","88.3913803100586","182.550308227539","92.0640335083008","83.370002746582","45.555248260498","24.9457111358643","90.1070022583008","177.259994506836","54.3013763427734","129.341079711914","184.438293457031","27.1539554595947","142.399993896484","50.8600006103516","78.6488952636719","3271.63989257812","374.459991455078","29.7128124237061","175.904479980469","113.408729553223","102.32893371582","97.0342559814453","76.5511169433594","49.7910652160645","26.5405902862549","99.1679153442383","14.6506671905518","348.690002441406","72.3373794555664","114.697257995605","101.193412780762"
"5","94.8915023803711","78.325325012207","1086.59997558594","18.1559505462646","57.4518051147461","1825.54833984375","33.9053993225098","43.8603706359863","727.489990234375","43.9000015258789","173.690002441406","40.0053939819336","262.181762695312","105.770225524902","36.1902046203613","60.3600006103516","126.405540466309","8.02058887481689","36.2376670837402","89.2583465576172","71.2794494628906","88.6352233886719","184.048156738281","93.3178863525391","84.1399993896484","44.9222755432129","24.8602542877197","91.0427474975586","177.309997558594","55.5122833251953","131.641021728516","183.398208618164","27.3997421264648","141.75","50.4099998474121","78.5822601318359","3236.73999023438","368.190002441406","29.5045070648193","177.04052734375","113.907173156738","103.841209411621","97.8849792480469","75.7606048583984","49.6033515930176","27.050313949585","99.2329940795898","14.6180000305176","344.820007324219","72.5829620361328","116.914855957031","101.019142150879"
"6","95.213996887207","80.4492034912109","1084.07995605469","19.2687339782715","57.7300491333008","1840.46020507812","34.3456268310547","44.3822860717773","724.119995117188","44.7200012207031","175.240005493164","41.1087303161621","264.149108886719","107.118705749512","36.2733039855957","62.3600006103516","128.861175537109","8.25529861450195","36.4182357788086","90.0375671386719","71.3149795532227","89.0640563964844","184.583221435547","95.3023147583008","86.8600006103516","45.7536468505859","24.9362182617188","91.1528244018555","180.110000610352","55.606876373291","134.202987670898","184.940399169922","27.9601211547852","145.089996337891","51.8400001525879","79.6389083862305","3333.6201171875","367.570007324219","29.8737869262695","179.379470825195","116.4970703125","102.417655944824","96.1070175170898","75.9241561889648","49.6315078735352","27.2788047790527","100.628021240234","14.8559999465942","344.220001220703","73.4299240112305","119.508438110352","101.422775268555"
"7","94.6815032958984","80.2209396362305","1099.46997070312","19.1076717376709","58.7923965454102","1869.9248046875","34.2233352661133","44.9911880493164","732.880004882812","46.0699996948242","175.970001220703","41.0231246948242","264.472229003906","107.286148071289","36.4671783447266","61.3699989318848","131.722763061523","8.27957916259766","36.6178169250488","90.685417175293","70.8974304199219","88.8622436523438","185.430221557617","96.4969329833984","86.8300018310547","45.781982421875","25.2685737609863","92.5747985839844","180.210006713867","55.9001426696777","136.143890380859","186.186630249023","28.0879249572754","147.470001220703","53.6300010681152","79.9149703979492","3370.25","369.320007324219","29.9400691986084","182.3388671875","118.461494445801","102.861396789551","94.749626159668","76.1695022583008","49.6315078735352","27.8851928710938","101.186050415039","14.8973331451416","346.890014648438","73.9804229736328","119.547019958496","101.523681640625"
"8","96.1094970703125","80.1018371582031","1098.7900390625","19.4810371398926","61.0688896179199","1893.57434082031","34.1988754272461","44.7398986816406","725.390014648438","47.6399993896484","175.789993286133","41.4891929626465","257.648529052734","107.16276550293","36.8272323608398","62.060001373291","131.930725097656","8.21483039855957","36.8268966674805","91.5872116088867","70.9773864746094","89.484504699707","187.489868164062","98.0370864868164","87.1600036621094","45.4229927062988","25.686393737793","93.7582321166992","179.949996948242","58.624683380127","137.056121826172","184.967269897461","28.205904006958","150.710006713867","52.8199996948242","81.3047866821289","3367.75","374.339996337891","30.413501739502","182.663452148438","115.392700195312","102.924781799316","94.6157989501953","76.8236846923828","49.706600189209","27.507303237915","102.869400024414","15.1446666717529","340.380004882812","74.810417175293","126.546875","100.441184997559"
"9","96.7154998779297","78.9803619384766","1115.47998046875","19.1735610961914","60.4028053283691","1903.11987304688","33.4977874755859","44.9718589782715","723.080017089844","48.3899993896484","173.410003662109","41.9647560119629","260.224060058594","106.492942810059","37.0026512145996","62.6399993896484","132.693145751953","8.1905517578125","36.4372444152832","91.6222229003906","71.1017761230469","88.0298004150391","187.365020751953","99.1132354736328","87.6900024414062","45.8670120239258","25.211597442627","94.2077865600586","180.860000610352","58.7760429382324","137.085220336914","187.908081054688","28.3926982879639","151.470001220703","53.7299995422363","80.8764114379883","3396.3798828125","383.089996337891","30.7354393005371","181.241073608398","116.340705871582","99.8549652099609","93.8510665893555","77.6959533691406","49.537654876709","26.6636257171631","102.785675048828","14.9700002670288","341.329986572266","73.4468536376953","128.205261230469","101.734680175781"
"10","96.9499969482422","78.7223129272461","1130.38000488281","19.9788627624512","60.6810531616211","1914.75012207031","33.1716957092285","44.6335792541504","730.97998046875","49.0200004577637","176.080001831055","42.1835327148438","267.019165039062","107.268524169922","36.8364677429199","64.2799987792969","133.554595947266","8.25529861450195","36.2661781311035","92.9354858398438","71.5726318359375","89.4592742919922","189.112640380859","99.3600311279297","88.9000015258789","46.4999923706055","25.3445434570312","94.629768371582","183.990005493164","58.8611831665039","137.560745239258","190.804046630859","28.4025268554688","153.25","52.7599983215332","82.0568389892578","3396.4599609375","386.220001220703","30.9437522888184","184.563293457031","113.897392272949","100.054183959961","95.5908050537109","79.7676162719727","50.6076164245605","26.6987762451172","102.30207824707","15.6599998474121","345.429992675781","74.4801177978516","128.600555419922","101.808052062988"
