"","ALB","AMCR","APD","AVY","BALL","CE","CF","CTVA","DD","DOW","ECL","EMN","FCX","FMC","IFF","IP","LIN","LYB","MLM","MOS","NEM","NUE","PKG","PPG","SHW","STLD","VMC","WRK"
"1","65.8263854980469","8.80918121337891","197.782379150391","104.282234191895","63.9968566894531","94.5548477172852","41.681526184082","25.4507923126221","68.3767623901367","38.1057052612305","182.711547851562","64.3392639160156","10.7608509063721","73.7042465209961","130.763229370117","32.9945106506348","188.223281860352","65.1270980834961","216.1689453125","22.0706348419189","32.3741874694824","48.168643951416","81.2024612426758","105.979614257812","150.689010620117","25.9332294464111","128.09211730957","31.736644744873"
"2","64.7370071411133","8.93074226379395","197.862518310547","103.570648193359","63.8350830078125","95.0765991210938","41.6014671325684","25.4976463317871","68.0667037963867","37.661808013916","180.080490112305","64.7898483276367","10.7230281829834","74.1892395019531","126.996955871582","33.0247993469238","188.027984619141","65.0293197631836","217.056701660156","21.874490737915","32.2966613769531","48.2849998474121","81.8290786743164","106.789222717285","148.781646728516","26.0045700073242","129.251281738281","31.9279384613037"
"3","64.4244079589844","9.02799320220947","199.198638916016","103.237953186035","63.9302597045898","94.6807861328125","41.8505249023438","26.2473049163818","68.1214294433594","38.6119194030762","182.02766418457","64.5093002319336","10.7230281829834","73.4796829223633","127.833915710449","32.0554885864258","189.190704345703","65.4053955078125","217.06640625","21.8838310241699","33.1150512695312","48.1059646606445","79.1681213378906","107.552879333496","148.867950439453","25.9956531524658","128.791442871094","30.5889091491699"
"4","64.2160034179688","9.28732490539551","200.142730712891","103.441261291504","64.7676849365234","93.9431457519531","42.2330093383789","25.9286918640137","67.6016082763672","38.6975708007812","182.018127441406","64.9258575439453","10.7230281829834","74.1982421875","128.627258300781","32.3053894042969","188.651214599609","65.112060546875","216.786560058594","22.5656604766846","32.6843070983887","48.5983085632324","79.3569641113281","106.973258972168","148.027725219727","26.6377429962158","128.743545532227","30.1280841827393"
"5","65.5137710571289","9.32784652709961","199.456924438477","101.981071472168","64.4726943969727","95.1935577392578","41.6281547546387","27.4186363220215","67.337158203125","39.2894477844238","178.807708740234","64.9343795776367","10.8648672103882","74.8898391723633","126.369285583496","32.2145233154297","186.604705810547","64.8864059448242","216.313705444336","22.5469875335693","32.9685935974121","49.3412857055664","79.3140258789062","106.292411804199","145.133178710938","27.2263202667236","128.657348632812","30.2063293457031"
"6","65.8547897338867","9.31163692474365","199.073928833008","104.45783996582","64.8057403564453","95.4814376831055","41.9305763244629","27.7091236114502","67.3280410766602","39.6476974487305","182.559585571289","65.4954833984375","10.931058883667","74.9891128540039","125.166206359863","32.5022773742676","185.609390258789","65.1647186279297","218.784118652344","22.7804832458496","32.8049240112305","49.2060317993164","80.6531066894531","106.623626708984","145.286499023438","27.2892456054688","129.720687866211","31.0845260620117"
"7","66.6978759765625","9.31163692474365","202.682220458984","106.906875610352","66.6043319702148","96.9747314453125","41.548095703125","27.7091236114502","68.4588394165039","38.4016456604004","187.536773681641","66.1670837402344","10.9783382415771","74.8627548217773","126.491363525391","32.8051986694336","186.790740966797","64.7810897827148","222.055419921875","23.3782501220703","33.1409034729004","49.6839332580566","81.8204879760742","107.378067016602","146.417465209961","27.1454238891602","131.540863037109","31.7105617523193"
"8","66.6220932006836","9.26301288604736","204.875823974609","109.568450927734","66.8612823486328","98.6299438476562","41.3790893554688","27.8122062683105","69.1427993774414","39.0636024475098","185.940979003906","67.663330078125","10.8270425796509","76.7399749755859","125.445190429688","33.1308174133301","188.837295532227","65.6460647583008","220.106155395508","23.6024112701416","32.6584777832031","50.1979064941406","83.8205108642578","109.144554138184","147.379135131836","27.5768795013428","131.732467651367","32.5626792907715"
"9","66.1863479614258","9.38457298278809","206.174102783203","110.381706237793","68.0983734130859","96.6688766479492","41.1745147705078","27.1656265258789","68.2490997314453","38.4717330932617","188.040145874023","66.0990753173828","10.8270425796509","75.359130859375","124.477447509766","33.1459579467773","189.339553833008","65.4956207275391","218.774490356445","23.0233249664307","33.1150512695312","49.7200012207031","83.7518463134766","108.647727966309","148.046905517578","27.1004810333252","131.301361083984","32.3713836669922"
"10","67.7683029174805","9.46561622619629","207.185852050781","111.037864685059","68.754997253418","96.1021347045898","41.4858322143555","26.9875869750977","67.6472244262695","38.4172172546387","189.759338378906","66.0735778808594","10.6946620941162","76.5233688354492","127.310844421387","33.4034423828125","189.404724121094","65.6987075805664","222.93359375","23.1260604858398","33.3907241821289","49.8552627563477","85.8205337524414","109.558570861816","150.209777832031","27.0825023651123","134.069900512695","33.1452331542969"
"11","66.792594909668","9.40888786315918","206.451644897461","111.342826843262","68.298225402832","95.0226364135742","41.1834144592285","26.8376502990723","67.245964050293","38.4016456604004","187.185272216797","66.1840896606445","10.6757497787476","76.4331283569336","126.517456054688","33.2216949462891","188.307022094727","65.7513732910156","222.759872436523","23.163423538208","33.0978202819824","49.8732948303223","85.6574401855469","108.528114318848","148.92546081543","27.5049705505371","133.887908935547","33.1017646789551"
"12","66.4894790649414","9.27111625671387","204.419204711914","108.773658752441","67.1848220825195","94.213020324707","40.4896087646484","26.0224056243896","65.7595062255859","37.7864074707031","187.641174316406","64.1437225341797","10.6095571517944","75.5757446289062","124.44255065918","32.7976226806641","187.600036621094","65.7137603759766","220.984329223633","22.4629192352295","32.9858283996582","49.1879959106445","85.3999328613281","107.07445526123","147.855194091797","26.6510562896729","132.259307861328","32.8496017456055"
"13","66.8968048095703","8.93074226379395","202.395645141602","106.87914276123","67.4893417358398","94.213020324707","39.4844856262207","25.2914905548096","63.835319519043","37.280200958252","186.035980224609","63.4551086425781","10.2785978317261","74.3032302856445","123.797439575195","32.7294578552246","186.948913574219","63.6679649353027","220.926391601562","21.7904319763184","33.3907241821289","49.160945892334","85.5372695922852","106.669631958008","147.647476196289","26.8128471374512","132.134826660156","32.5365791320801"
"14","66.7736587524414","8.88212108612061","202.583679199219","105.908767700195","67.0230407714844","93.9161529541016","39.3332633972168","24.8323249816895","63.5161476135254","37.0309791564941","188.192138671875","63.1745376586914","10.3542442321777","73.5902328491211","124.268203735352","32.6764602661133","187.693084716797","63.2392311096191","218.09895324707","21.5569286346436","33.640552520752","48.845344543457","85.8806228637695","106.182006835938","146.177871704102","26.2196044921875","131.167251586914","32.5191955566406"
